thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Panchlaish	1988240	4208	1992448	8768368	668351	304793	15028	212	15240	964	14155	531	14686	2802	12147	7213	339	0	0	5298	0	11757	2589	1757	4331	16088
Rangunia	2542026	10572	2552598	3167214	240460	129582	8990	15	9005	993	6724	8	6732	2973	6594	4683	18	0	0	0	0	729	1738	101	1834	2563
Doublemooring	2770749	7663	2778412	11647362	951207	443668	18591	361	18952	1599	18647	849	19496	4771	10619	5854	0	0	0	0	0	13305	2959	2112	5034	18339
Fatichhari	2668809	16591	2685400	3947571	362400	199424	9086	2	9088	1205	13545	0	13545	6395	7154	11144	0	0	0	0	0	633	3067	124	3191	3824
Hathazari	2266688	8864	2275552	4052157	173962	99383	7194	20	7214	295	5905	0	5905	1884	4714	6006	0	14	0	0	137	1203	1993	117	2073	3276
Sitakunda	2780049	7716	2787765	3876983	314915	146979	10336	15	10351	112	7226	0	7226	404	5133	7743	0	0	0	0	1	542	2066	0	2066	2608
Mirsharai	2151205	8815	2160020	1809867	403673	192750	10183	32	10215	210	6832	22	6854	1987	5912	5970	0	0	0	0	0	153	1845	271	2116	2269
Rawzan	2292338	11573	2303911	4248429	202371	98792	10020	36	10056	370	4965	80	5045	1345	7260	4044	46	10	0	0	124	1508	2044	9	2051	3559
Sandwip	1789715	10683	1800398	1362189	272920	139309	10206	3	10209	1989	3406	6	3412	891	2554	7095	38	0	0	0	0	380	593	88	673	1053
Boalkhali	1639165	5371	1644536	1155147	73113	40114	4824	26	4850	110	5915	125	6040	1168	2317	3869	1	5	0	0	34	869	1244	56	1292	2161
Chandlaish	1601111	7408	1608519	1635086	124834	67966	6349	6	6355	741	3664	0	3664	427	3413	7351	4	0	20	2977	578	636	1702	80	1780	2416
Banshkhali	2456405	11375	2467780	3091630	340439	181158	5915	0	5915	6	6211	479	6690	0	4187	6737	4	0	0	208	33	946	2751	0	2736	3682
Satkania	1661803	10423	1672226	1591012	203292	92715	6515	18	6533	208	5697	59	5756	564	5663	5345	50	0	0	0	0	693	1877	35	1895	2588
Anwara	1866990	5063	1872053	1871880	127545	71146	6008	124	6132	865	5090	0	5090	1627	2954	7620	5	0	0	0	36	922	1774	24	1790	2712
Patiya	3142109	17866	3159975	2701450	314507	176413	15491	917	16408	1516	14372	32	14404	4525	7166	15272	0	0	0	0	0	1554	3395	122	3460	5014
Lohagora	1755272	5204	1760476	1503556	227335	112849	4127	6	4133	374	3916	50	3966	838	2985	8075	0	0	0	99054	109	477	1690	86	1760	2237
