thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Gopalganj Sadar	203	850	1053	442	1495	209	169	144	103	63	5	72	8	0	94	58	63	62	94	59	55	66	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	250	396	58	17	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	64	64	0	990	6248	0	0	0	22	140
Muksudpur	175	1422	1597	682	2279	384	242	171	133	73	19	20	60	55	62	79	71	64	58	64	61	26	39	19	39	309	330	321	287	232	120	184	418	331	316	148	71	199	197	98	79	297	297	313	317	350	410	291	85	109	31	144	6	0	1	0	0	0	0	2	0	63	65	317	776	1142	77	345	301	116	198
Tungipara	80	812	892	106	998	82	92	102	65	38	1	49	19	4	52	49	51	54	19	17	20	20	1	0	1	0	0	0	11	10	84	70	80	72	70	19	53	3	0	19	58	0	165	39	12	119	97	98	85	88	90	97	85	0	0	0	0	0	0	0	1	14	15	11	404	1591	23	0	7	5	10
Kotalipara	177	599	776	557	1333	199	266	240	161	63	7	41	81	3	60	72	121	112	60	70	114	104	0	9	0	0	0	0	38	15	180	185	176	181	175	14	89	3	0	281	347	0	0	54	0	248	255	257	287	246	239	208	134	0	0	0	0	0	0	0	0	67	67	71	668	2968	186	0	26	34	29
Kasiani	163	521	684	659	1343	252	305	320	318	100	4	51	66	3	50	69	95	139	46	62	64	123	0	0	0	0	0	0	263	13	188	186	199	156	175	1	50	0	0	271	662	0	0	65	0	233	245	237	248	237	304	211	231	0	0	0	0	0	0	0	0	60	60	49	644	3280	639	0	20	33	82
