thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Gangachara	257	693	950	966	1916	438	576	377	219	128	6	76	44	10	52	69	82	90	47	66	82	90	0	0	0	10	0	0	25	0	105	111	100	84	96	42	123	1	0	204	496	51	77	62	25	123	119	91	108	94	118	94	257	4	2	0	0	0	0	0	0	63	63	163	925	2885	237	0	17	14	39
Pirganj	381	989	1370	1421	2791	439	471	431	325	199	32	205	107	0	39	116	157	218	28	103	146	194	0	0	0	0	0	0	87	3	2021	1851	1730	1349	1178	35	268	14	0	197	462	0	223	79	70	823	802	787	1824	1517	1993	541	570	0	0	0	1	1	2	0	0	56	58	67	896	6395	199	0	0	7	53
Pirgachha	283	748	1031	1062	2093	444	397	436	379	96	20	31	6	34	191	188	207	330	87	68	96	169	3	2	3	4	0	0	20	4	106	86	89	70	87	15	142	24	3	912	260	20	458	40	39	101	136	144	145	128	152	157	213	0	0	0	0	0	0	0	0	41	41	44	380	7110	510	0	12	26	44
Badarganj	424	777	1201	1152	2353	195	212	168	191	84	16	120	76	39	58	38	25	34	58	38	25	34	0	8	0	24	2	2	51	20	384	354	331	279	262	32	123	4	5	8	248	2	29	188	77	417	333	348	335	353	280	331	373	0	0	0	0	0	0	0	0	61	61	119	241	2365	382	0	19	17	17
Mithapukur	327	1178	1505	1079	2584	319	329	246	187	137	9	91	107	1	19	97	32	38	17	97	30	36	12	0	12	6	0	0	7	0	0	0	1	2	3	42	52	0	0	101	363	13	135	100	0	76	69	50	54	53	60	58	320	0	0	0	2	0	2	3	0	58	63	96	1371	6055	202	0	16	6	79
Kaunia	225	519	744	784	1528	520	359	252	221	112	14	51	27	3	36	42	62	87	26	37	51	80	0	5	0	5	0	5	60	51	250	240	241	176	146	23	69	56	8	46	262	44	128	34	8	313	340	319	320	343	293	265	194	6	4	1	1	0	1	0	0	33	34	26	416	2558	54	0	5	5	21
Rangpur Sadar	1014	2282	3296	1305	4601	1454	1088	726	519	150	3	133	172	113	182	185	81	257	190	111	79	170	19	167	19	22	20	12	110	35	257	233	257	138	176	64	354	167	39	183	3330	322	1373	229	226	363	384	398	360	317	343	236	391	4	9	0	0	0	0	2	0	61	63	201	2287	14437	180	0	47	16	107
Taraganj	202	566	768	474	1242	214	198	175	149	82	6	39	52	10	33	24	37	73	53	46	56	56	15	8	15	0	0	0	21	8	60	63	48	69	57	17	99	26	2	116	123	6	46	0	0	69	67	66	69	73	142	73	162	0	0	0	1	2	3	0	0	14	17	49	812	1491	0	0	0	0	16
