thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Mirzapur	300	795	1095	1232	2327	352	403	368	241	89	8	59	161	9	96	102	120	193	97	100	120	187	1	51	1	10	0	0	165	50	289	301	318	289	322	46	196	4	1	62	270	115	122	226	267	371	403	395	409	346	398	354	294	8	3	1	3	0	3	0	0	74	77	67	811	3620	543	1	39	10	60
Nagarpur	339	609	948	1122	2070	599	602	342	294	95	21	55	96	0	130	143	143	121	129	141	140	105	0	0	0	0	0	0	79	1	293	297	302	280	254	0	118	0	0	303	175	59	398	106	170	335	372	410	368	284	306	337	268	0	0	0	0	0	0	0	0	65	65	54	709	6974	88	0	11	6	22
Bhuapur	229	475	704	648	1352	229	234	255	203	62	41	43	38	9	33	58	56	105	38	62	60	92	0	26	0	16	0	2	120	26	141	145	162	133	141	67	106	3	10	57	237	83	215	13	15	145	191	159	156	152	157	132	135	0	0	0	0	0	0	0	0	42	42	44	1050	4409	64	0	24	2	41
Ghatail	438	874	1312	1220	2532	380	338	280	199	77	18	16	4	19	82	115	154	208	75	74	123	176	4	83	4	49	33	35	147	81	476	469	428	465	457	26	157	1	0	210	386	151	116	17	19	356	393	410	374	297	234	262	370	3	3	0	0	1	1	0	0	101	102	96	1057	5193	181	0	20	11	37
Basail	118	396	514	513	1027	156	125	106	78	30	6	17	48	10	31	74	28	80	32	73	29	72	0	0	0	0	0	0	0	0	46	46	52	59	59	14	107	0	0	0	138	141	88	37	0	74	67	77	72	74	60	81	100	2	1	0	1	0	1	0	0	24	25	29	534	2626	191	0	19	6	31
Tangail Sadar	414	1004	1418	1547	2965	664	698	478	317	28	78	81	178	3	54	69	60	208	56	68	55	145	9	220	9	35	0	3	47	17	360	347	334	302	295	11	136	80	9	446	433	75	775	157	146	416	485	497	602	490	405	424	365	0	0	0	0	0	0	0	0	80	80	59	1058	6179	132	0	14	12	60
Kalihati	337	794	1131	751	1882	495	463	396	286	103	11	37	94	28	38	56	83	124	46	54	74	100	5	95	5	11	0	0	11	51	190	198	219	226	225	15	84	9	0	117	310	51	321	32	30	165	463	181	166	209	165	146	245	0	0	0	0	0	0	0	0	59	59	49	2254	10620	143	0	0	28	58
Modhupur	399	1312	1711	1624	3335	787	710	555	345	97	40	78	86	16	118	124	159	248	120	126	150	221	1	14	1	21	0	2	85	15	337	390	423	376	418	1	200	6	0	70	418	20	146	99	20	336	377	393	407	338	380	403	412	0	1	1	0	0	0	1	0	55	56	67	952	4341	279	1	50	7	38
Gopalpur	264	916	1180	392	1572	423	411	448	286	69	42	45	62	1	63	93	94	113	62	96	95	103	1	24	1	14	0	0	86	26	244	258	300	263	272	14	200	1	0	85	146	56	290	122	319	344	360	361	396	422	295	235	202	0	0	1	0	1	1	1	0	53	55	38	1544	4105	208	2	20	7	66
Shakhipur	204	598	802	894	1696	512	418	311	182	58	8	43	35	1	130	131	143	251	132	124	130	180	4	24	4	6	0	0	102	14	326	347	343	305	266	25	204	6	1	16	140	45	11	93	1	349	418	406	360	307	353	339	180	3	0	1	0	0	0	0	1	33	34	36	246	2241	161	0	11	1	33
Delduar	203	522	725	718	1443	586	561	476	422	33	0	14	0	11	137	164	166	250	105	154	131	253	2	29	2	34	0	1	107	46	256	259	267	254	241	16	84	12	0	113	305	25	77	19	19	147	195	197	192	194	207	193	110	2	2	0	0	1	1	0	0	32	33	33	611	5221	53	0	12	5	40
