thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Sariakandi	156	445	601	347	948	253	223	162	84	89	15	16	1	8	30	26	30	69	29	24	25	50	0	2	0	0	0	0	40	14	226	271	212	224	196	3	18	0	0	36	220	34	17	34	50	222	232	247	273	325	276	269	170	0	0	0	0	0	0	0	0	61	61	45	314	3018	99	0	8	7	39
Sherpur	324	521	845	1169	2014	229	270	247	258	48	103	38	127	5	50	47	72	133	50	47	73	133	0	39	0	24	0	2	171	89	225	235	226	226	233	24	52	5	0	71	164	9	80	17	29	346	346	361	335	537	394	345	317	0	0	0	0	0	0	0	0	72	72	70	188	2060	109	0	12	5	72
Shibganj	386	1221	1607	484	2091	304	323	286	453	57	183	39	131	7	63	116	121	117	63	116	121	117	0	44	0	6	0	5	186	64	207	193	156	136	156	5	115	0	0	141	595	478	123	0	18	281	218	216	202	207	157	147	425	0	0	0	1	0	1	3	0	81	85	56	903	7711	350	0	35	0	54
Dhunot	317	576	893	783	1676	213	358	245	162	61	126	38	50	18	31	46	45	113	31	46	45	113	5	242	5	19	0	1	10	1	148	128	110	106	111	31	108	0	0	143	274	0	274	79	18	123	141	144	158	161	175	130	275	0	0	0	0	0	0	0	0	68	68	88	181	3207	197	0	33	9	50
Dupchanchia	180	581	761	356	1117	139	108	48	34	5	23	75	102	38	38	19	31	37	38	19	31	37	0	251	0	0	0	0	61	6	114	146	142	146	148	5	103	0	0	11	100	0	27	158	158	210	210	221	190	199	220	187	178	0	0	0	0	0	0	0	0	54	54	27	156	1738	69	1	16	1	18
Nandigram	133	302	435	441	876	129	74	16	11	0	35	22	40	0	15	4	10	26	15	2	0	0	0	0	0	0	0	0	11	0	113	109	105	101	81	12	96	0	0	11	89	0	0	0	0	129	141	125	140	104	139	109	122	0	0	0	0	0	0	0	0	25	25	16	368	856	141	0	4	4	14
Adamdighi	94	318	412	453	865	147	150	134	106	15	10	3	0	2	8	25	15	56	7	25	16	56	5	7	5	11	0	0	40	7	88	114	123	131	119	0	45	7	0	104	126	54	28	3	2	129	147	170	152	180	165	128	97	0	0	0	0	0	0	0	0	35	35	24	61	1557	120	0	12	2	12
Bogra Sadar	289	712	1001	1045	2046	929	805	489	293	58	28	79	212	20	146	74	79	250	145	93	78	212	1	82	1	40	0	0	179	59	326	351	315	306	272	0	38	218	24	154	172	19	275	97	104	446	447	484	523	773	682	420	377	0	0	2	0	0	0	0	0	87	87	60	395	4437	268	0	12	9	88
Kahaloo	198	294	492	822	1314	203	208	187	140	18	39	37	104	2	6	14	25	70	10	12	25	79	3	65	3	0	0	0	72	27	90	103	75	102	70	26	0	6	1	188	542	161	368	6	6	149	149	154	119	165	158	130	211	0	0	0	0	0	0	0	0	49	49	52	512	3218	120	0	25	6	21
Gabtali	391	693	1084	788	1872	433	437	329	289	160	52	8	0	0	73	67	108	130	65	61	94	103	0	138	0	17	0	0	201	102	180	203	217	223	245	24	25	2	0	761	320	65	117	0	0	303	303	333	309	425	358	260	349	0	0	0	4	1	5	0	0	81	86	43	306	2916	32	0	0	14	68
Sonatola	193	514	707	272	979	455	182	176	167	156	32	48	0	18	29	41	64	90	70	40	64	88	43	21	43	18	2	0	40	32	118	321	346	295	416	148	129	3	0	47	217	4	144	29	36	210	480	466	479	529	1041	373	444	39	0	0	0	0	0	0	0	51	51	38	824	3915	178	0	28	5	73
Shajahanpur	191	487	678	479	1157	243	220	167	120	23	44	44	167	6	38	30	53	51	38	30	53	51	0	79	0	0	0	0	83	33	140	169	179	180	176	9	0	0	0	25	111	0	21	0	17	370	379	375	361	434	386	363	228	0	0	0	3	0	3	0	0	53	56	32	70	1597	68	1	7	6	62
