thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Jhikarghachha	232	598	830	913	1743	142	213	255	233	75	4	7	2	9	35	38	82	113	23	32	75	97	0	42	0	0	0	0	117	15	338	325	311	284	297	23	68	22	0	62	170	115	98	3	57	275	291	292	324	299	271	215	259	0	0	0	0	0	0	0	0	71	71	73	417	2422	305	0	8	16	172
Jessore Sadar	1242	3070	4312	4276	8588	2390	1873	1459	1286	144	7	119	126	156	350	433	546	735	285	462	530	746	8	281	8	26	0	1	486	59	904	836	956	922	882	7	60	165	20	57	332	23	295	269	335	709	798	777	709	746	914	729	371	12	7	0	0	0	0	1	0	71	72	96	6484	16336	578	0	48	27	76
Sarsa	328	839	1167	984	2151	297	424	454	287	120	9	44	129	10	113	90	140	134	95	87	110	94	0	218	0	1	0	0	42	24	186	182	274	262	281	17	69	9	1	9	438	110	54	30	91	400	420	429	415	375	489	385	344	3	1	1	1	0	1	0	0	44	45	29	985	2821	260	0	16	12	46
Keshobpur	270	519	789	684	1473	241	357	250	293	91	21	63	108	166	45	54	111	161	39	43	98	176	2	39	2	21	0	26	149	83	88	115	304	280	268	16	0	7	0	14	139	114	22	33	168	295	277	313	260	310	300	279	283	3	1	0	0	0	0	0	0	45	45	52	388	2633	200	12	7	15	1876
Bagherpara	267	613	880	622	1502	264	218	124	124	33	0	28	58	0	81	37	47	42	66	27	40	46	0	0	0	0	0	0	47	3	164	112	150	145	132	3	43	0	0	10	62	6	0	40	88	143	157	149	162	159	164	149	120	19	2	0	0	0	0	0	0	25	25	3	466	2828	541	0	25	114	40
Monirampur	320	1100	1420	583	2003	201	272	294	201	125	37	17	0	45	65	63	108	121	54	58	90	78	10	13	10	42	0	7	42	19	290	332	405	402	357	3	26	34	0	63	274	77	84	36	37	334	339	338	337	272	248	302	303	2	2	0	0	0	0	0	0	83	83	51	836	3961	239	22	31	21	52
Abhaynagar	236	604	840	771	1611	268	329	301	265	59	17	31	139	2	91	116	134	123	88	120	142	123	0	0	0	0	0	0	54	26	341	327	337	262	231	2	54	36	17	334	412	184	214	85	6	266	351	338	317	242	268	233	239	0	0	0	0	1	1	2	0	76	79	55	707	4367	78	270	27	4	54
Chowgachha	283	557	840	765	1605	117	143	129	88	40	4	151	108	4	10	15	46	80	10	15	34	77	0	2	0	3	0	0	77	11	149	146	200	161	145	8	88	7	0	0	153	45	6	0	18	205	231	218	192	210	232	206	283	3	0	3	2	0	2	1	2	66	71	49	445	2053	183	0	11	6	32
