thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Mirzapur	351	838	1189	1180	2369	514	478	420	255	54	19	75	139	11	103	138	155	173	109	139	157	169	2	30	2	15	0	0	170	46	313	367	333	298	301	21	219	17	0	219	211	31	40	159	274	304	340	352	329	301	284	346	228	5	1	1	1	0	1	1	0	54	56	90	619	2590	664	0	39	8	46
Nagarpur	361	496	857	1075	1932	643	397	368	263	82	24	83	99	2	117	164	210	182	125	111	102	111	8	0	8	0	0	0	75	5	330	304	313	283	257	11	34	0	0	313	132	77	391	108	204	387	397	402	385	388	346	354	242	0	0	0	0	0	0	0	0	63	63	76	565	6838	106	1	14	4	28
Bhuapur	229	436	665	648	1313	246	268	243	180	44	41	53	49	19	38	57	82	146	38	57	82	146	15	41	15	19	0	0	143	24	170	202	186	203	199	11	240	1	9	71	224	145	64	11	22	165	181	203	192	142	180	158	187	0	0	0	0	0	0	0	0	43	43	48	695	2732	51	1	26	3	40
Ghatail	313	852	1165	1224	2389	465	497	371	273	104	10	96	202	16	94	99	155	173	88	123	168	210	6	75	6	5	45	54	404	209	497	484	479	451	438	80	243	0	0	481	517	180	174	66	60	365	429	442	443	449	362	346	316	9	1	0	0	0	0	0	0	61	61	68	949	5295	256	0	14	4	37
Basail	111	419	530	455	985	218	179	152	107	23	3	19	64	12	55	110	59	110	47	101	55	105	0	0	0	0	0	0	9	1	56	58	65	75	66	11	98	0	0	46	148	125	206	49	57	45	46	52	74	79	50	59	108	0	0	1	0	0	0	0	0	27	27	46	666	2246	110	2	11	5	26
Tangail Sadar	427	1065	1492	1424	2916	883	619	431	274	22	117	87	128	1	62	119	110	198	59	108	75	139	7	114	7	44	0	3	41	27	410	348	330	290	281	14	205	59	7	230	1106	123	993	225	294	428	532	551	515	489	494	405	354	0	0	0	0	0	0	0	1	99	100	58	894	8313	117	0	0	3	62
Kalihati	263	841	1104	914	2018	549	490	413	326	84	14	56	103	24	76	101	143	160	36	58	74	127	12	145	12	68	9	1	19	4	195	217	204	180	204	6	81	4	2	167	366	136	93	19	19	219	234	241	226	269	231	206	256	0	0	1	1	0	1	1	1	69	72	25	773	10673	84	2	11	9	70
Modhupur	329	880	1209	1217	2426	497	493	386	315	118	24	70	77	16	118	164	166	200	120	155	153	189	1	5	1	14	1	0	92	36	339	328	344	335	388	22	159	7	1	140	251	16	129	122	13	372	390	388	402	399	394	399	375	1	1	2	0	0	0	0	1	83	84	72	989	4334	267	2	45	8	37
Gopalpur	192	878	1070	395	1465	336	358	299	228	95	36	44	58	7	96	96	103	126	89	92	96	122	0	36	0	15	0	1	113	33	319	302	280	245	254	13	187	0	0	120	203	63	373	150	288	372	375	353	362	399	392	271	233	0	0	0	0	0	0	0	0	49	49	42	1501	4371	180	2	5	6	55
Shakhipur	198	574	772	842	1614	367	364	286	211	64	9	52	65	1	123	117	121	190	117	108	113	192	1	25	1	9	0	5	59	14	356	376	371	310	275	5	74	1	3	6	79	21	10	88	192	358	435	413	399	345	424	329	150	1	0	0	0	0	0	0	0	50	50	29	166	1378	136	2	12	0	28
Delduar	165	533	698	708	1406	315	386	339	286	29	0	16	0	19	47	99	65	196	51	101	52	58	4	38	4	21	0	0	108	54	205	224	207	224	231	15	87	14	1	99	282	44	71	29	30	178	199	210	212	170	202	193	110	0	0	0	0	0	0	0	0	40	40	30	777	5216	43	0	10	5	33
