thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Brahmanbaria Sadar	551	1369	1920	2054	3974	828	478	420	304	249	35	108	6	108	209	162	125	149	194	159	131	173	1	79	1	12	0	0	21	13	539	544	603	518	479	9	159	84	1	177	401	75	243	145	211	940	960	932	924	1159	1143	871	472	8	1	1	0	0	0	1	1	102	104	61	808	7722	185	0	58	22	33
Nasirnagar	347	1706	2053	1824	3877	420	385	372	360	174	19	39	10	4	196	176	135	175	200	174	131	177	6	77	6	6	0	1	43	5	401	391	397	392	373	4	24	0	2	52	237	16	372	20	53	569	607	591	549	604	479	433	208	1	5	1	1	2	3	1	0	57	61	34	253	2270	811	7	17	16	17
Nabinagar	590	1949	2539	1343	3882	455	436	438	370	241	168	58	0	55	188	198	195	193	177	163	182	176	2	6	2	1	0	0	35	2	899	833	702	661	786	10	0	21	0	56	376	42	76	58	58	962	962	954	919	800	800	828	560	0	0	0	0	0	0	1	1	132	134	122	357	4064	174	0	21	15	26
Kashba	250	882	1132	1014	2146	336	302	316	263	99	14	46	45	35	145	76	189	139	134	68	135	181	18	53	18	11	0	1	69	27	466	460	466	438	409	36	88	26	0	356	280	96	76	50	83	461	487	528	508	434	437	447	198	2	3	2	5	1	6	0	0	71	77	29	343	5010	32	0	8	7	21
Sarail	233	942	1175	1203	2378	87	101	109	89	111	35	45	18	0	52	45	46	39	38	47	47	43	0	0	0	0	0	0	25	7	289	309	291	276	272	10	86	4	0	69	167	46	59	23	3	258	280	288	300	285	276	236	212	10	4	1	2	0	2	0	0	43	45	33	220	1726	25	0	7	0	0
Bancharampur	222	709	931	853	1784	166	207	184	168	106	21	51	0	72	91	85	102	140	92	75	96	119	0	3	0	7	0	2	28	9	544	563	536	486	449	11	130	11	2	25	452	57	75	0	89	535	584	588	588	505	512	497	223	32	2	0	0	0	0	0	0	82	82	69	243	2860	99	0	25	10	33
Akhaura	180	423	603	657	1260	110	67	73	52	97	24	14	0	14	55	28	41	24	49	22	17	17	0	3	0	2	0	0	16	1	90	92	92	91	102	5	19	0	0	15	135	37	0	14	41	61	67	69	62	55	63	59	177	0	0	0	2	1	3	0	0	47	50	51	108	927	22	0	6	5	19
Ashuganj	115	604	719	705	1424	101	75	77	140	33	56	22	0	2	36	32	25	27	31	26	25	30	0	10	0	0	0	0	37	37	255	205	194	184	130	4	38	0	0	29	123	0	8	9	9	358	357	341	314	282	273	241	118	0	0	0	0	0	0	0	0	32	32	6	273	1763	74	0	2	8	32
Bijoy Nagar	240	780	1020	1112	2132	251	260	267	242	163	34	30	36	18	84	95	96	152	92	89	97	155	0	12	0	18	4	0	49	9	320	314	340	286	236	6	91	9	1	46	217	98	172	39	22	410	452	479	459	442	494	435	230	1	0	0	0	0	0	0	0	49	49	75	199	1782	54	0	6	10	10
