thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Barisal Sadar	206	555	761	3172	3933	711	677	606	403	85	3	150	100	32	248	146	279	274	242	141	173	213	34	48	34	7	0	6	45	29	305	329	331	282	278	34	121	248	15	237	155	40	615	202	145	334	461	481	415	361	424	348	338	0	0	0	1	0	1	0	0	36	37	27	590	4212	115	0	9	9	44
Uzirpur	149	386	535	605	1140	327	296	273	185	53	5	31	75	18	67	55	98	131	63	53	98	145	0	0	0	0	0	0	31	21	271	295	266	298	257	9	193	7	5	335	456	0	250	60	256	266	281	326	296	323	323	271	166	2	0	1	0	0	0	2	0	47	49	24	453	2145	222	0	10	9	12
Bakerganj	213	640	853	850	1703	162	156	125	76	121	7	53	0	37	72	46	49	136	70	46	50	67	0	6	0	6	0	0	60	25	440	425	363	309	266	19	125	6	0	99	223	36	35	48	70	317	406	403	392	363	369	297	211	0	0	0	0	0	0	0	0	53	53	36	646	3460	296	0	11	12	49
Babuganj	75	221	296	292	588	152	191	174	150	39	1	32	42	19	42	88	122	138	48	76	109	142	0	0	0	0	0	0	11	7	181	203	174	153	120	0	52	0	4	270	297	26	44	99	11	197	200	213	204	205	186	181	114	0	0	0	0	0	0	0	0	26	26	2	474	1476	17	0	12	6	33
Mehendiganj	176	664	840	728	1568	148	146	138	89	98	5	37	13	15	64	62	71	70	35	41	54	58	0	0	0	0	0	0	0	72	157	163	119	97	88	23	268	4	0	90	516	96	5	37	30	107	103	103	109	94	87	97	153	0	0	0	0	0	0	1	0	32	33	12	535	2646	317	0	13	13	7
Gournadi	112	371	483	413	896	208	188	186	136	51	2	34	56	17	87	65	87	134	80	59	87	129	18	5	18	4	0	0	36	3	238	226	248	215	224	9	99	5	0	40	93	82	52	26	23	261	264	282	289	345	437	286	137	1	1	1	0	0	0	0	0	40	40	32	219	1529	2	0	13	7	32
Muladi	89	292	381	303	684	196	191	178	135	55	0	28	6	24	48	55	72	99	48	55	72	91	0	52	0	0	0	1	31	8	392	212	200	173	162	0	0	10	0	9	88	11	6	61	20	120	271	273	261	197	183	120	92	0	0	0	0	0	0	0	0	31	31	61	214	660	60	0	11	10	12
Hizla	83	447	530	203	733	132	119	103	126	23	7	64	6	29	54	44	52	63	38	42	51	63	0	10	0	3	0	2	3	0	7	7	10	6	6	2	79	11	2	68	164	56	9	29	29	0	8	9	11	8	11	10	100	1	1	0	0	0	0	0	0	18	18	22	138	1222	103	0	1	5	17
Agailjhara	89	251	340	322	662	158	149	117	84	20	0	30	38	0	34	43	65	92	34	43	65	92	0	3	0	3	0	0	14	3	145	112	121	121	103	5	90	9	0	22	135	46	29	28	106	129	130	134	156	154	139	140	83	0	1	1	0	0	0	0	0	39	39	17	167	850	207	0	19	5	16
Banaripara	84	281	365	373	738	162	121	95	83	25	4	65	37	19	42	53	43	44	41	44	39	37	0	156	0	0	0	0	1	4	123	116	101	96	69	8	7	0	0	47	141	0	33	58	50	82	83	75	72	78	73	70	131	0	0	0	0	0	0	0	0	31	31	6	167	1275	126	0	6	8	42
