thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Panchlaish	27	68	95	88	183	2153	1351	891	840	12	0	302	140	1	558	574	364	719	460	725	441	737	17	279	17	0	0	0	140	41	860	734	565	434	431	33	73	463	23	431	210	324	1625	810	8	796	1837	1612	1365	891	1087	946	38	0	0	0	0	0	0	0	0	4	4	0	5970	10103	0	0	4	5	0
Rangunia	259	778	1037	934	1971	312	364	306	241	130	19	143	76	19	59	80	133	234	58	82	122	191	4	133	4	23	0	0	51	13	248	243	239	182	208	26	127	25	2	243	579	339	329	139	145	309	380	386	366	335	330	330	381	0	0	0	0	0	0	0	0	72	72	118	773	4046	310	0	30	16	55
Doublemooring	82	434	516	551	1067	2530	2301	2079	2337	10	2	327	426	48	1839	1871	1848	1450	1735	1827	1733	749	4	1682	4	52	0	16	15	3	684	1992	517	413	401	0	32	83	26	1415	1691	913	2699	570	662	1460	2079	1876	1269	1001	1069	438	780	25	26	0	0	0	0	0	0	33	33	14	3084	15797	164	4	8	8	0
Fatichhari	442	1320	1762	1491	3253	306	300	249	229	83	38	37	1	18	53	53	78	68	38	39	37	62	1	64	1	32	0	3	25	10	741	728	667	578	511	39	73	8	4	173	484	104	212	32	22	738	825	792	781	714	726	655	346	0	2	0	1	2	3	0	0	76	79	106	1166	4605	76	0	6	21	63
Hathazari	195	913	1108	1061	2169	205	166	134	109	18	22	82	56	11	25	56	14	27	19	54	8	20	5	44	5	1	2	1	16	5	29	24	21	26	23	6	37	36	7	68	185	63	108	19	19	153	139	137	148	95	129	75	120	0	0	0	0	0	0	0	1	67	68	90	600	2566	148	6	38	26	31
Sitakunda	414	924	1338	1156	2494	305	296	228	142	110	0	57	56	14	53	63	96	81	45	63	93	78	1	78	1	75	4	11	45	2	257	243	277	224	235	28	125	57	11	97	261	129	124	12	17	333	378	359	320	314	386	323	253	0	0	0	0	0	0	0	0	45	45	98	496	4189	41	0	7	8	69
Mirsharai	279	1235	1514	1070	2584	572	477	425	242	78	13	63	75	0	115	141	125	110	42	102	124	127	5	0	5	0	0	0	17	21	375	372	346	332	387	0	0	7	0	177	68	2	48	5	9	429	458	519	486	388	473	439	161	1	0	0	0	0	0	0	0	98	98	15	854	3750	0	0	0	5	0
Rawzan	246	668	914	875	1789	299	218	197	143	27	6	153	83	44	39	43	55	90	33	30	34	56	3	40	3	5	0	2	67	19	320	302	288	310	331	28	86	26	9	166	451	183	114	30	46	368	386	350	346	225	406	322	247	0	0	0	0	0	0	1	0	62	63	35	385	2462	45	0	25	14	41
Sandwip	245	759	1004	720	1724	169	195	149	130	120	47	37	14	11	53	49	58	85	49	57	60	76	0	0	0	0	0	0	14	0	364	367	322	295	277	3	94	0	0	314	30	0	0	39	127	289	318	339	314	266	340	255	226	0	0	0	0	0	0	2	0	42	44	80	0	0	270	0	21	7	40
Boalkhali	159	720	879	512	1391	87	106	118	71	17	6	102	44	41	38	44	68	53	39	44	67	51	0	0	0	2	0	3	23	7	107	115	172	165	137	3	4	10	0	38	68	27	17	41	41	148	205	229	228	192	166	168	178	0	0	0	0	0	0	0	0	44	44	49	450	1486	45	0	22	0	5
