thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Durgapur	146	159	305	853	1158	252	260	191	130	4	0	54	81	0	55	49	28	90	55	50	25	61	0	13	0	0	0	0	24	6	81	66	81	108	96	3	45	0	0	38	137	69	32	30	88	90	121	128	135	159	139	111	139	0	0	0	0	0	0	0	0	36	36	69	170	2054	0	0	0	4	19
Poba (Sadar)	264	643	907	770	1677	406	407	320	151	26	8	111	126	32	91	91	100	111	90	88	95	60	0	0	0	0	0	0	30	9	134	135	123	125	120	12	24	0	0	401	149	0	76	54	21	113	140	132	136	190	147	110	267	0	0	0	0	1	1	0	0	46	47	120	469	2490	295	0	42	5	612
Mohanpur	174	518	692	391	1083	203	253	181	129	20	2	61	98	2	3	57	64	94	3	57	64	94	0	2	0	27	0	5	32	14	91	117	105	107	112	0	87	0	3	393	607	0	565	29	30	117	138	129	146	235	163	144	181	0	0	0	1	0	1	0	0	37	38	85	1579	3157	192	2	17	0	24
Puthiya	203	421	624	580	1204	260	254	167	88	14	3	57	93	0	3	10	13	19	8	9	13	12	0	9	0	0	0	0	22	22	25	21	21	22	20	1	19	0	0	0	67	11	0	0	0	0	0	0	0	0	0	0	166	0	0	0	2	0	2	0	0	26	28	57	88	1161	94	2	13	17	205
Bagmara	311	851	1162	1057	2219	774	488	393	311	55	3	111	147	19	72	53	69	97	71	58	63	74	3	20	3	10	0	1	110	43	206	188	228	181	218	0	335	7	1	644	370	72	365	33	33	195	199	204	191	181	202	182	225	0	0	0	0	0	0	0	0	64	64	120	1145	5129	982	0	35	17	68
Charghat	191	447	638	674	1312	186	145	121	80	18	4	50	111	3	18	14	33	36	13	13	28	31	3	19	3	4	0	0	17	7	36	34	49	43	44	10	68	3	0	72	86	0	81	3	3	33	43	38	45	35	53	48	183	0	0	0	0	0	0	0	0	43	43	66	294	1761	237	0	8	3	28
Boalia	511	2243	2754	2352	5106	1933	1758	1678	1606	0	0	179	171	271	585	446	283	196	403	333	228	257	5	88	5	22	0	0	45	0	311	330	300	265	260	13	280	119	18	199	311	422	535	324	312	483	685	620	531	320	271	324	350	0	0	0	0	0	0	0	0	9	9	61	5166	20519	266	0	11	0	0
Tanore	188	391	579	597	1176	147	155	124	100	10	20	48	47	0	28	25	33	35	28	25	33	35	0	0	0	0	0	0	3	0	162	160	162	137	143	3	124	8	0	15	81	0	67	43	0	98	120	109	100	115	93	70	127	0	0	0	0	0	0	0	0	29	29	53	264	1709	66	0	17	7	15
Godagari	280	1022	1302	1290	2592	398	343	230	191	12	70	82	73	0	69	58	65	56	70	56	69	56	2	8	2	9	0	0	19	3	270	269	244	218	135	21	72	0	0	213	247	104	352	142	210	155	161	181	150	198	160	146	237	13	0	0	0	0	0	1	0	63	64	29	627	2522	220	0	25	13	27
Bagha	151	530	681	411	1092	247	222	198	101	17	3	36	63	45	12	14	34	52	12	14	30	50	0	12	0	7	0	0	58	7	50	57	140	113	127	7	131	3	0	41	179	0	4	11	35	166	174	181	189	134	179	174	149	0	0	0	0	0	0	0	0	36	36	71	450	2106	18	0	2	3	20
