thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Katiadi	340	720	1060	1069	2129	565	541	489	393	172	45	116	50	18	193	168	173	200	183	153	163	219	3	166	3	62	0	5	102	64	225	226	214	205	184	3	18	4	0	353	592	227	644	170	20	242	235	232	232	251	253	187	385	10	4	0	0	0	0	1	0	49	50	62	803	8002	304	2	120	15	101
Bhariab Bazar	314	1658	1972	1923	3895	430	405	1249	221	89	7	36	11	24	68	72	101	182	76	52	99	58	15	13	15	2	0	0	26	6	100	69	72	54	37	18	69	2	2	73	322	52	60	48	15	41	57	68	57	50	61	90	98	0	0	0	0	0	0	0	0	29	29	35	714	2042	38	0	12	4	22
Austagram	83	456	539	237	776	203	234	221	135	47	18	8	6	3	51	53	54	52	49	53	57	53	0	0	0	0	0	0	21	6	117	87	85	93	87	76	75	5	0	67	167	29	17	25	55	97	151	154	152	63	39	108	63	0	0	0	0	0	0	0	0	9	9	19	254	1398	36	0	8	4	103
Kishoreganj Sadar	408	908	1316	1126	2442	1138	1119	783	519	163	49	133	85	81	307	228	283	266	287	231	278	265	20	57	20	40	0	1	24	16	121	84	73	76	74	33	13	61	1	665	807	50	251	100	96	99	79	69	65	138	120	136	430	3	1	0	0	0	0	0	0	66	66	44	1535	9999	71	0	12	11	65
Hossainpur	176	1231	1407	355	1762	249	284	252	198	44	7	23	18	6	32	61	117	113	31	63	54	95	0	6	0	0	0	0	10	6	66	55	71	72	77	21	27	0	0	78	186	0	262	19	12	78	88	95	93	105	89	84	142	0	0	0	0	0	0	0	0	27	27	13	488	3592	42	0	3	1	26
Nikli	139	360	499	380	879	96	101	81	73	45	20	1	0	10	30	30	57	49	30	31	61	53	0	3	0	0	0	0	31	8	52	39	54	40	47	0	85	7	0	269	335	0	83	18	23	78	86	91	86	94	79	62	100	0	0	0	0	0	0	0	0	21	21	15	1085	4975	37	0	11	4	24
Bazitpur	200	493	693	655	1348	322	252	323	290	108	12	85	20	0	157	257	147	150	147	148	198	116	0	0	0	0	0	0	43	20	53	55	49	55	61	5	97	6	1	306	601	0	0	69	69	68	113	115	104	113	117	94	177	0	0	0	0	0	0	0	0	33	33	15	592	4480	149	0	4	11	54
Pakundia	211	679	890	413	1303	356	298	248	157	39	5	37	47	8	34	69	111	149	35	65	65	72	0	37	0	0	0	0	10	7	1	1	2	2	3	15	103	0	0	119	440	82	184	11	29	3	6	3	1	0	5	2	121	0	0	0	2	0	2	0	0	39	41	13	1104	5083	37	0	5	2	33
Itna	112	499	611	481	1092	87	87	75	52	76	9	19	6	2	34	32	38	24	27	26	29	25	4	10	4	0	0	0	28	0	20	24	26	24	20	16	99	0	0	201	71	0	66	92	88	24	24	22	21	15	15	11	110	0	0	0	0	0	0	0	0	12	12	1	1336	3025	25	0	0	0	0
Kuliarchar	178	744	922	965	1887	327	269	205	175	77	45	9	0	20	61	59	66	72	55	55	60	74	20	20	20	5	0	0	65	29	100	100	88	71	72	16	84	0	0	166	471	4	18	32	27	113	120	108	101	96	148	99	135	0	0	0	0	0	0	0	0	42	42	27	506	3232	59	0	16	5	58
Tarail	136	807	943	1030	1973	296	300	211	174	50	14	70	13	2	80	83	90	72	76	75	89	82	0	42	0	33	0	2	41	20	0	0	0	0	0	11	47	14	0	66	371	54	21	79	40	0	0	0	0	0	0	0	100	0	0	1	1	0	1	0	0	25	26	13	649	3645	345	0	36	6	34
Karimganj	282	1445	1727	704	2431	402	297	230	135	113	54	66	37	9	33	26	33	105	63	55	85	103	0	23	0	1	0	0	63	29	218	260	529	514	631	0	73	4	0	37	244	0	114	49	74	95	112	104	125	130	107	98	270	0	0	0	0	0	0	0	0	32	32	24	1532	5504	46	0	0	11	43
Mithamoin	92	287	379	353	732	47	26	13	9	28	28	11	5	0	5	3	1	16	5	3	1	16	0	6	0	0	0	0	9	3	16	16	10	11	11	15	85	0	0	0	177	0	2	2	5	12	24	23	24	10	25	26	72	0	0	0	0	0	0	0	0	11	11	8	83	591	0	0	0	0	18
