thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Naogaon Sadar	248	499	747	597	1344	432	352	367	188	36	4	61	75	6	189	124	171	53	49	25	28	46	3	17	3	1	0	1	56	7	194	191	213	196	224	32	147	1	1	26	166	54	57	2	6	250	256	318	304	242	242	218	101	2	0	0	0	0	0	0	0	29	29	99	383	3850	560	0	32	22	70
Mohadebpur	384	623	1007	811	1818	165	158	140	99	98	13	22	127	0	23	13	42	58	17	5	34	59	4	0	4	0	0	0	34	4	134	110	118	134	161	26	68	5	1	2	225	231	37	34	25	120	163	161	157	156	115	105	289	0	0	0	0	0	0	0	0	44	44	9	478	4241	8	0	0	0	11
Manda	410	614	1024	895	1919	565	399	390	394	46	27	227	94	159	175	45	134	180	172	46	122	251	6	9	6	19	0	0	83	11	71	57	44	49	48	9	126	35	3	278	639	323	503	48	309	72	83	74	76	48	0	75	394	9	0	0	0	0	0	0	0	103	103	221	1397	6508	278	0	30	7	34
Badalgachhi	217	622	839	170	1009	149	107	71	61	34	2	59	32	41	36	11	16	0	3	6	7	0	48	0	48	234	224	186	184	5	28	15	20	17	10	0	0	0	0	0	0	0	0	0	0	186	231	232	224	135	165	159	115	0	0	0	0	0	0	0	0	60	60	15	0	0	307	0	26	0	0
Rani Nagar	246	391	637	461	1098	215	149	133	50	54	9	21	44	0	73	42	20	23	10	5	16	19	0	0	0	0	0	0	11	1	156	183	185	183	182	3	0	0	0	0	0	0	0	4	37	312	353	315	629	295	1015	518	128	0	0	0	1	0	1	0	2	51	54	42	784	3379	89	1	17	4	12
Patnitola	316	458	774	632	1406	187	160	124	73	50	8	13	0	0	38	20	39	61	38	21	28	41	4	9	4	2	0	0	89	25	168	151	195	170	171	9	179	0	0	55	573	23	0	34	47	206	210	208	214	162	216	215	124	0	1	1	0	0	0	0	0	36	36	23	817	4865	56	0	11	11	47
Atrai	245	432	677	690	1367	152	190	215	107	65	1	49	62	0	7	17	41	79	6	20	38	44	0	0	0	0	0	0	56	5	178	208	216	183	190	3	62	0	0	17	42	0	27	2	2	230	244	264	298	224	244	269	177	0	0	0	1	1	2	1	0	57	60	27	122	2317	53	1	0	7	37
Dhamoirhat	144	446	590	487	1077	147	304	196	83	43	13	44	24	10	88	50	30	39	12	12	39	39	0	17	0	0	0	0	27	0	81	102	125	100	93	10	90	1	0	4	198	29	59	30	50	142	183	151	141	104	151	107	94	9	1	0	0	0	0	0	0	69	69	10	542	4301	162	50	21	9	36
Niamatpur	293	466	759	512	1271	228	200	206	180	109	11	27	35	11	33	20	29	79	35	12	31	38	9	3	9	3	0	0	56	4	136	140	148	130	120	6	149	19	0	90	182	22	50	9	97	124	205	208	221	247	0	180	144	0	0	0	0	0	0	0	0	49	49	108	1008	3044	47	1	16	0	31
Porsa	170	344	514	337	851	99	93	97	92	74	17	16	0	11	15	30	33	31	27	27	26	22	1	6	1	1	0	0	25	7	120	109	104	82	91	3	87	7	0	7	102	0	10	27	21	129	112	115	119	83	0	132	139	0	0	0	0	0	0	0	0	28	28	25	277	1829	76	0	23	6	16
Sapahar	346	275	621	498	1119	50	58	62	48	50	24	29	18	0	7	10	13	12	7	10	13	15	3	0	3	0	0	0	87	12	121	109	129	140	143	0	12	0	0	3	5	0	102	0	4	107	126	130	122	105	0	75	104	2	1	0	0	0	0	0	0	18	18	3	242	2228	37	0	10	10	14
