thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Bandarban Sadar	93	353	446	429	875	318	305	221	168	69	0	54	8	29	70	107	68	84	68	56	160	77	22	7	22	0	0	0	5	1	71	83	112	81	81	13	99	49	1	10	382	129	327	29	29	125	125	147	128	205	146	114	111	0	0	0	2	0	2	0	0	5	7	27	360	2716	141	3	15	5	23
Rowangchhari	38	135	173	0	173	67	69	67	57	35	0	7	1	7	21	17	23	23	22	21	23	21	0	22	0	1	0	0	5	0	30	30	39	42	26	7	41	0	0	27	93	72	21	4	4	24	29	50	50	47	46	41	42	0	0	1	0	0	0	0	0	10	10	10	122	652	181	0	6	5	20
Ruma	11	111	122	122	244	15	33	40	19	27	2	0	0	0	9	5	10	7	7	5	13	7	0	0	0	0	0	0	25	0	30	37	30	30	33	4	14	0	0	64	86	21	0	4	29	36	38	38	39	30	33	40	29	0	0	0	0	0	0	0	0	0	0	5	47	220	110	0	8	4	16
Thanchi	27	134	161	134	295	27	39	33	32	35	0	0	0	1	5	10	17	15	3	2	18	12	0	21	0	0	0	0	9	0	21	16	22	15	15	13	39	0	0	1	39	24	2	10	0	17	18	20	13	12	13	13	35	0	1	0	0	0	0	0	0	0	0	14	19	264	0	0	0	0	15
Lama	108	480	588	599	1187	174	129	162	96	105	8	18	0	18	55	54	40	53	50	58	45	51	23	14	23	1	0	0	2	0	144	109	145	131	148	10	66	6	1	48	107	74	23	32	44	230	230	250	270	260	169	123	108	0	0	0	0	0	0	1	0	9	10	12	363	1711	487	4	9	7	16
Alikadam	69	82	151	194	345	42	26	25	23	35	1	10	0	2	15	11	14	20	4	10	15	24	1	3	1	0	0	0	31	0	63	53	58	46	39	5	40	7	0	4	23	18	2	3	3	84	82	72	69	45	56	67	46	1	1	0	0	0	0	0	0	2	2	8	36	319	49	0	1	7	5
Naikhongchhari	72	353	425	228	653	28	23	11	8	9	61	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	83	106	100	79	0	0	0	0	0	0	0	0	0	0	84	87	110	132	160	59	53	84	0	0	0	0	0	0	0	0	14	14	0	128	698	0	0	0	0	0
