thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Mymensingh Sadar	681	2349	3030	2291	5321	1094	1067	826	1023	410	18	264	251	0	952	462	567	532	690	540	595	543	17	182	17	0	0	0	102	19	242	300	250	234	188	18	0	301	47	264	318	287	600	406	467	320	308	347	263	219	340	219	853	0	0	0	0	0	0	0	0	100	100	183	390	11715	367	16	0	6	104
Trisal	527	1657	2184	2164	4348	135	143	113	78	300	18	82	105	2	9	18	66	126	8	11	75	149	1	19	1	23	0	2	36	5	87	71	76	57	54	22	8	1	0	41	170	22	52	1	2	0	0	0	0	0	0	0	464	0	0	0	2	1	3	1	0	73	77	131	208	1489	30	0	8	8	54
Fulbaria	395	1072	1467	1517	2984	115	143	122	106	58	1	26	2	25	35	39	61	125	31	29	34	69	14	43	14	14	0	3	25	6	0	0	0	0	0	11	0	5	2	195	80	62	66	9	17	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	21	21	0	317	1874	105	0	10	10	53
Bhaluka	351	860	1211	1411	2622	242	276	125	89	142	17	77	0	10	27	19	28	177	20	21	34	153	2	23	2	19	0	0	120	13	320	294	375	312	323	36	0	9	0	38	81	7	86	8	12	384	371	387	353	437	344	297	347	1	2	2	1	1	2	0	0	47	49	60	239	1927	163	3	8	13	33
Muktagacha	528	1815	2343	1346	3689	332	376	345	237	139	28	88	42	2	36	41	93	108	23	37	74	86	5	29	5	6	0	1	50	8	356	338	318	313	270	3	0	0	0	27	50	40	39	86	26	344	410	389	413	338	284	301	357	1	0	0	0	0	0	0	0	73	73	32	184	1511	18	0	1	0	76
Gafargaon	383	1344	1727	1717	3444	306	337	289	226	159	59	139	108	34	107	108	136	173	108	109	121	144	18	10	18	0	0	0	182	41	586	561	534	489	436	22	0	12	0	61	268	63	61	16	4	434	617	579	543	392	394	343	401	2	5	0	0	1	1	0	0	90	91	30	577	2706	114	0	18	7	63
Phulpur	613	1498	2111	1970	4081	219	273	266	235	279	27	112	54	5	41	78	99	110	35	61	89	113	0	80	0	16	0	1	97	26	554	523	494	453	431	28	5	9	0	158	87	98	164	25	29	577	659	642	641	451	532	493	423	0	0	0	0	0	0	0	0	77	77	65	0	0	316	0	10	28	67
Gouripur	252	722	974	1066	2040	171	210	159	159	169	14	13	0	9	35	28	58	52	23	21	52	45	6	21	6	8	0	2	10	6	38	27	36	28	25	13	0	12	0	78	61	30	66	6	11	59	69	68	67	71	43	28	231	0	0	0	0	0	0	0	0	27	27	37	160	1481	348	0	8	7	36
Ishwarganj	519	1097	1616	1368	2984	80	68	48	27	266	39	109	47	1	29	30	18	24	1	3	2	11	0	12	0	1	0	0	56	21	191	176	167	144	142	0	4	0	0	28	24	52	17	0	0	164	167	124	137	100	241	135	453	1	0	0	3	0	3	3	0	36	42	157	378	1659	575	0	18	22	29
Nandail	328	1083	1411	1449	2860	158	121	92	83	19	0	8	0	1	45	41	35	38	39	22	17	32	9	0	9	0	0	0	3	0	0	0	0	0	0	10	0	6	0	12	63	11	16	1	1	0	0	0	0	0	0	0	296	4	0	0	0	0	0	0	0	51	51	0	347	1581	0	0	0	0	4
Haluaghat	319	744	1063	1076	2139	58	52	38	27	119	18	13	0	13	23	3	15	25	23	0	14	24	2	9	2	2	0	0	28	0	0	0	0	0	0	5	0	2	0	35	48	0	14	0	9	7	6	5	4	6	7	7	145	0	0	0	0	1	1	1	0	45	47	14	329	1186	74	0	0	2	18
Dhubaura	193	522	715	780	1495	48	71	47	27	156	2	3	0	2	16	9	15	18	11	12	21	26	3	20	3	2	0	0	11	5	169	171	131	128	116	2	4	4	0	9	23	14	54	14	7	91	91	93	85	69	89	79	199	0	0	0	0	0	0	0	0	25	25	21	37	1076	138	0	7	7	17
