thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Patharghata	188	415	603	359	962	198	219	174	159	93	14	23	47	64	65	71	93	148	65	71	93	148	3	20	3	7	0	7	74	28	411	399	366	376	402	12	393	4	0	109	177	0	148	65	74	252	291	291	314	274	247	283	166	2	1	1	1	1	2	1	0	33	36	48	464	2114	95	0	0	7	36
Bmna	81	105	186	182	368	124	55	60	34	34	0	10	14	18	40	38	22	33	19	26	20	22	0	145	0	1	0	0	0	2	68	55	90	114	104	5	78	0	0	73	75	30	71	20	20	109	121	139	133	133	128	148	57	0	1	1	2	0	2	0	6	23	31	14	132	774	334	17	5	4	38
Amtali	217	650	867	903	1770	283	256	220	306	165	42	48	25	48	131	117	143	195	131	117	143	195	2	87	2	4	0	0	5	4	427	474	437	432	374	5	38	6	0	149	345	31	109	111	135	325	436	470	518	512	370	322	226	0	0	0	1	1	2	1	1	59	63	55	460	2379	97	0	0	10	80
Betagi	87	218	305	264	569	68	98	72	31	36	8	7	18	15	14	17	22	41	12	17	21	42	0	15	0	0	0	0	21	0	155	171	172	141	155	30	507	0	0	3	114	0	30	13	21	126	145	187	187	189	216	172	70	0	0	1	0	0	0	0	0	31	31	20	296	1329	18	0	7	7	29
Barguna Sadar	291	674	965	948	1913	431	295	246	241	101	14	173	57	112	211	102	121	180	211	107	109	162	2	164	2	46	0	1	10	4	446	409	445	458	474	3	313	40	22	206	332	155	284	208	192	323	451	493	529	503	479	420	189	5	3	0	0	1	1	0	0	54	55	69	271	3100	698	0	10	13	80
