thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Sariakandi	214	442	656	370	1026	256	222	163	84	61	18	15	1	8	30	26	30	69	29	24	25	50	0	2	0	0	0	0	40	14	212	261	212	223	190	4	14	0	0	36	205	34	17	34	50	222	232	247	273	325	276	269	170	0	0	0	0	0	0	0	0	39	39	45	430	4038	96	0	8	7	39
Sherpur	366	552	918	1098	2016	311	335	261	280	48	114	30	141	6	56	50	66	148	56	50	66	147	1	92	1	32	0	3	175	94	213	236	230	236	248	34	39	4	0	35	147	32	65	14	14	316	328	329	347	471	358	291	331	0	0	0	0	0	0	1	0	69	70	92	226	2015	102	1	11	9	67
Shibganj	423	1297	1720	423	2143	377	312	287	359	45	102	47	141	27	52	71	131	126	52	71	131	126	0	92	0	3	0	6	205	73	203	194	180	143	173	5	167	0	0	139	570	336	97	0	40	270	219	219	210	189	186	156	364	0	0	0	0	1	1	0	0	77	78	91	953	7377	363	1	30	12	52
Dhunot	356	518	874	893	1767	231	393	275	159	42	123	37	54	12	30	38	49	74	30	38	49	74	2	385	2	18	0	3	190	63	133	127	109	100	106	30	76	0	0	149	474	36	302	85	278	118	131	128	132	147	118	127	257	0	2	0	1	1	2	0	1	70	73	92	332	4254	210	1	39	0	54
Dupchanchia	170	690	860	282	1142	187	77	63	56	5	16	59	84	32	33	19	31	41	33	19	31	41	0	134	0	0	0	0	77	15	114	121	196	168	167	3	36	0	15	144	84	22	45	136	142	184	183	183	190	184	193	176	142	0	0	0	0	0	0	0	0	45	45	65	271	2461	66	1	16	2	19
Nandigram	154	253	407	497	904	149	83	38	6	4	49	20	44	0	13	2	0	23	13	2	0	1	0	72	0	0	0	0	9	2	138	134	115	121	123	19	104	0	0	56	89	0	0	10	0	165	163	164	159	145	173	140	113	0	0	0	0	0	0	0	0	26	26	36	314	1019	105	0	3	0	13
Adamdighi	148	355	503	403	906	291	288	195	137	12	9	0	0	2	16	38	24	55	13	37	22	56	6	10	6	16	0	0	35	6	111	118	119	118	103	0	56	10	0	108	124	66	22	2	2	161	150	155	176	170	150	146	90	0	0	0	0	0	0	0	0	45	45	37	69	1669	150	0	12	3	17
Bogra Sadar	358	803	1161	924	2085	1058	930	655	329	62	20	109	197	44	201	133	100	278	200	131	101	266	3	145	3	32	0	1	125	46	364	299	317	330	292	0	37	294	34	178	316	46	353	191	195	522	511	510	538	982	555	397	388	2	0	4	0	0	0	0	0	78	78	80	529	5459	274	1	8	5	84
Kahaloo	267	330	597	781	1378	246	203	219	170	19	25	42	103	2	6	14	29	69	6	14	30	74	1	78	1	0	0	0	86	30	96	116	95	99	78	22	0	6	1	207	449	175	301	6	6	166	166	183	170	197	155	149	192	0	0	0	0	0	0	0	0	65	65	73	554	3746	125	1	27	5	25
Gabtali	409	761	1170	792	1962	584	492	383	313	124	47	11	0	4	69	79	91	118	69	79	91	118	0	198	0	28	0	1	195	85	161	185	199	214	263	29	0	1	0	850	343	68	115	0	0	297	296	301	316	423	349	219	264	0	0	0	2	0	2	0	0	97	99	82	575	4783	86	0	0	10	64
Sonatola	203	490	693	330	1023	281	212	183	162	44	16	13	0	20	67	58	86	102	65	60	80	112	0	44	0	8	0	0	82	36	369	353	353	432	382	0	50	3	0	119	278	157	110	21	33	526	522	512	497	1226	402	474	102	0	0	0	0	0	0	0	0	58	58	37	1030	4973	200	0	25	7	87
Shajahanpur	283	497	780	475	1255	245	241	187	140	35	29	36	151	7	30	25	44	72	30	25	44	72	0	106	0	0	0	0	80	52	169	167	205	208	208	9	0	0	0	40	159	22	46	22	39	364	349	355	323	267	358	296	213	1	0	2	0	0	0	0	0	56	56	49	247	2604	79	1	8	5	65
