thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Daulatpur	603	944	1547	1616	3163	511	285	207	102	95	31	15	8	7	166	72	120	103	166	72	120	103	0	0	0	0	0	0	10	2	291	350	425	411	351	8	161	0	0	232	310	83	105	72	69	545	531	462	482	565	437	451	430	26	20	0	2	3	5	1	0	109	115	238	563	3654	15	0	11	0	23
Kushtia Sadar	494	1626	2120	1396	3516	756	851	679	673	53	10	142	593	44	126	436	442	459	112	415	444	350	7	18	7	22	0	12	117	61	274	275	267	272	271	7	78	8	0	180	507	206	351	51	51	388	379	379	377	316	404	376	442	0	1	0	1	0	1	1	0	70	72	105	710	6263	213	2	19	3	100
Kumarkhali	246	526	772	1276	2048	724	303	219	195	65	27	59	124	35	185	92	90	126	118	66	83	112	6	21	6	0	0	0	33	333	183	200	186	206	212	14	2	11	0	191	418	34	73	36	34	141	178	186	160	167	202	172	275	0	0	1	1	0	1	1	0	70	72	48	800	9845	137	1	4	8	34
Bheramara	251	1115	1366	478	1844	277	208	172	117	40	16	7	0	18	45	89	62	93	39	62	52	70	0	0	0	10	0	1	16	9	231	154	161	147	114	2	0	0	0	0	77	75	72	17	22	241	241	206	200	247	166	191	179	0	0	0	3	0	3	0	0	31	34	65	439	4016	43	1	2	5	42
Mirpur	322	682	1004	816	1820	305	223	157	109	38	6	16	0	19	27	35	83	97	28	34	80	96	0	0	0	2	0	0	87	21	285	241	259	265	213	0	277	0	0	2	26	0	52	49	47	299	315	322	306	298	287	314	284	0	0	0	0	0	0	0	0	87	87	69	332	3123	169	0	24	11	28
Khoksa	144	313	457	465	922	108	81	80	63	76	4	18	14	29	40	33	49	61	38	36	49	63	0	0	0	5	0	3	12	17	112	87	88	79	80	4	92	0	0	0	46	0	13	56	46	105	107	136	115	154	113	107	161	3	1	0	1	0	1	0	0	30	31	24	102	582	78	1	3	4	5
