thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Durgapur	190	159	349	835	1184	59	76	61	54	18	6	47	110	1	69	55	26	83	68	55	20	63	0	0	0	0	0	0	25	6	26	34	140	86	91	12	144	0	0	27	131	100	44	79	68	86	113	110	97	103	114	114	181	4	1	0	0	0	0	0	0	44	44	48	178	2419	0	2	4	4	16
Poba (Sadar)	257	778	1035	688	1723	353	369	311	165	39	13	78	103	0	70	81	60	59	56	67	71	68	0	0	0	0	0	0	74	34	123	117	119	133	121	8	0	0	0	85	352	0	130	29	0	156	141	141	145	145	130	143	259	0	0	0	0	0	0	0	0	50	50	104	531	2575	192	0	8	80	5
Mohanpur	203	416	619	382	1001	270	270	260	257	11	9	113	81	9	57	59	67	92	57	59	67	92	0	31	0	28	0	0	52	14	83	118	120	106	104	7	108	1	0	167	262	4	474	42	43	92	141	117	116	137	110	116	215	0	0	0	0	0	0	0	0	38	38	46	552	2820	131	0	23	6	18
Puthiya	192	425	617	666	1283	253	251	196	107	28	7	43	114	0	7	6	17	60	12	6	19	56	0	1	0	0	0	0	50	14	102	92	100	109	118	2	241	13	0	75	152	0	8	57	1	132	128	125	125	133	188	135	192	1	1	0	1	0	1	1	1	49	52	71	87	1401	315	0	16	4	46
Bagmara	310	873	1183	1140	2323	622	599	509	335	55	15	30	8	38	151	88	120	217	128	74	97	121	8	7	8	13	0	0	116	40	239	247	231	210	223	50	228	6	0	169	448	42	166	88	59	231	215	206	219	201	249	194	246	0	0	0	0	0	0	0	0	60	60	117	858	7166	693	0	27	15	74
Charghat	201	406	607	618	1225	147	161	143	86	8	2	45	122	3	10	18	39	39	3	14	30	50	2	2	2	2	0	0	38	12	30	33	25	36	41	15	11	0	0	26	50	4	79	2	4	31	36	41	51	29	44	35	176	0	0	0	0	1	1	1	0	37	39	79	432	2172	249	2	2	2	36
Boalia	394	2209	2603	2126	4729	1901	1734	1817	1510	0	0	216	157	231	461	351	197	168	268	237	211	189	12	77	12	9	0	2	10	2	224	242	230	219	214	10	267	106	23	1377	248	64	533	330	280	574	526	485	432	336	503	274	374	4	2	1	0	0	0	0	0	10	10	69	5073	20186	181	0	11	0	0
Tanore	169	333	502	592	1094	134	128	121	79	18	31	45	53	0	30	33	39	64	29	29	40	48	0	10	0	0	0	0	4	5	119	145	109	111	133	12	127	11	1	55	225	51	183	114	58	96	109	103	111	99	97	84	147	0	0	0	0	0	0	0	0	31	31	93	397	2363	76	0	22	8	10
Godagari	279	1339	1618	734	2352	311	256	209	192	59	11	72	70	4	132	72	74	65	130	70	71	59	7	67	7	24	0	1	5	3	169	137	144	128	121	23	155	0	0	40	280	0	76	66	100	220	211	194	217	249	195	199	152	0	0	0	0	0	0	0	0	51	51	78	307	2446	163	1	18	9	41
Bagha	209	549	758	411	1169	138	127	148	65	17	3	5	0	0	12	14	32	50	12	12	32	45	0	10	0	6	0	0	61	8	25	37	129	140	153	12	0	1	0	6	165	0	6	21	25	104	110	133	134	99	111	134	165	0	0	0	0	0	0	0	0	55	55	94	393	1521	8	0	0	2	18
