thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Naogaon Sadar	195	387	582	622	1204	503	524	440	372	58	6	74	133	69	144	114	220	158	143	113	219	157	0	118	0	0	0	0	56	17	204	249	261	257	273	3	75	0	0	93	358	3	332	28	29	307	279	313	303	230	257	303	175	0	0	0	0	0	0	0	0	64	64	58	719	7863	113	0	8	14	61
Mohadebpur	280	567	847	812	1659	94	130	92	65	45	8	42	140	28	41	23	48	87	39	23	33	61	3	20	3	3	0	0	34	12	149	164	146	176	163	2	79	2	2	98	238	131	36	36	35	216	222	222	205	187	219	219	235	0	0	0	0	0	0	0	0	60	60	43	536	3368	49	0	4	6	11
Manda	312	684	996	966	1962	486	519	399	321	62	14	82	160	210	206	80	106	197	222	84	118	203	10	91	10	31	0	4	84	13	115	98	129	123	115	17	39	39	1	160	824	227	346	266	232	119	123	115	116	177	146	90	318	4	0	0	0	0	0	0	0	68	68	68	1057	5359	273	0	41	8	49
Badalgachhi	130	653	783	149	932	97	99	104	64	26	3	46	8	41	31	30	36	58	43	27	32	56	1	9	1	5	0	1	48	11	197	193	175	224	249	14	53	0	3	9	72	6	4	40	42	133	178	164	175	225	161	128	95	4	2	1	0	0	0	0	0	41	41	62	407	2969	409	0	30	7	14
Rani Nagar	160	362	522	512	1034	134	155	141	124	59	9	41	66	4	19	35	46	78	19	29	42	78	0	19	0	0	0	0	69	31	259	241	227	209	207	2	114	0	0	107	562	0	77	45	8	200	266	278	249	269	244	236	175	0	0	0	0	0	0	0	0	52	52	50	759	3618	59	0	12	9	17
Patnitola	200	499	699	641	1340	236	162	142	107	37	11	11	0	11	21	18	51	148	22	20	49	139	2	9	2	16	0	3	81	28	248	228	249	223	215	22	132	0	0	82	482	13	50	42	57	241	265	272	257	301	255	231	182	0	0	2	1	0	1	0	0	31	32	75	408	4319	151	5	17	10	39
Atrai	246	361	607	637	1244	87	186	131	58	33	12	84	127	11	16	28	18	34	16	28	22	30	0	0	0	0	0	0	84	3	241	248	257	218	226	5	53	0	0	15	101	11	24	9	8	272	273	291	271	272	275	257	256	0	0	0	0	0	0	0	0	50	50	115	37	2000	38	0	0	6	21
Dhamoirhat	264	314	578	535	1113	221	281	211	171	47	0	31	35	18	55	75	70	100	43	64	85	82	1	9	1	0	0	0	27	2	130	129	117	114	100	15	24	1	0	33	81	15	0	39	23	95	136	140	115	152	121	100	105	0	0	1	1	0	1	1	0	46	48	65	936	3200	88	0	33	18	23
Niamatpur	160	408	568	581	1149	215	228	178	128	57	6	52	23	13	29	37	57	134	28	31	51	106	3	3	3	13	0	2	61	13	145	147	155	143	126	5	103	19	2	73	161	32	107	73	17	145	174	169	134	101	178	155	138	2	0	0	0	0	0	0	0	28	28	49	884	2771	9	0	9	3	31
Porsa	129	256	385	352	737	102	105	83	63	65	7	21	0	27	30	30	37	38	30	30	37	38	0	10	0	2	0	0	22	1	137	753	198	125	136	5	72	0	0	20	78	12	19	12	33	137	136	153	171	156	142	163	115	0	0	0	0	0	0	0	0	26	26	22	223	1928	84	0	6	5	15
Sapahar	238	277	515	652	1167	323	126	121	94	37	40	31	0	8	20	18	26	25	10	24	9	46	0	0	0	2	0	0	13	1	88	115	108	112	113	3	154	5	0	6	112	11	50	9	8	123	131	119	144	182	97	118	178	0	0	0	0	0	0	0	0	31	31	39	155	1405	72	0	4	3	14
