thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Digholia	856	5065	5921	495	6416	2312	2813	2805	2296	85	5	234	492	79	844	794	823	877	833	751	801	861	17	70	17	5	0	0	84	12	269	273	293	268	220	6	70	16	0	482	510	90	979	136	136	471	410	387	422	678	444	373	816	0	0	0	0	0	0	2	0	47	49	37	1965	13132	73	1	25	15	51
Dumuria	329	557	886	769	1655	441	458	336	215	43	7	9	0	6	80	134	187	237	58	79	122	172	6	11	6	42	0	13	58	14	26	30	173	139	173	14	48	2	2	130	492	9	403	30	20	148	224	264	248	275	325	307	290	2	1	4	2	0	2	0	0	96	98	87	1019	5182	29	0	12	6	57
Khulna Sadar	531	3317	3848	3745	7593	748	1388	1156	889	279	4	52	82	38	637	610	615	643	448	455	457	657	50	457	50	4	0	0	729	20	551	584	592	580	538	0	20	13	2	1062	957	193	651	392	373	563	957	781	696	791	815	537	417	5	0	0	0	0	0	0	0	21	21	541	6429	10144	1433	1	146	17	9077
Dacope	151	262	413	455	868	149	136	112	78	61	6	27	49	0	29	28	45	60	32	29	46	65	6	8	6	0	0	0	6	6	22	26	81	80	94	1	112	8	0	137	243	10	143	66	2	81	117	137	127	137	178	148	143	0	0	2	1	0	1	0	1	29	31	22	353	1319	109	0	21	6	3
Terokhada	115	336	451	359	810	178	122	112	65	45	2	6	4	3	11	25	33	27	18	19	28	26	0	5	0	3	0	0	82	20	26	29	57	72	89	1	12	5	0	0	182	23	0	21	0	77	73	69	77	63	69	79	92	0	0	1	0	0	0	0	0	14	14	8	174	1379	67	0	15	9	14
Fultala	169	232	401	325	726	173	276	188	112	25	5	33	43	0	7	23	53	68	11	16	34	42	1	13	1	2	0	0	26	10	15	13	89	82	79	4	90	0	1	40	159	36	17	14	7	59	100	99	114	105	154	98	106	3	5	0	0	0	0	0	1	35	36	62	229	1686	46	1	2	3	18
Batiaghata	163	450	613	253	866	121	139	132	121	53	9	26	71	6	20	30	41	66	18	24	39	57	15	28	15	13	0	0	26	0	35	25	55	62	63	0	53	9	0	46	109	0	49	0	8	79	105	114	120	124	127	110	155	1	1	4	1	1	2	1	0	48	51	14	222	1655	125	0	1	6	36
Paikgachha	171	339	510	724	1234	115	81	74	43	64	6	3	0	11	16	14	23	29	13	5	9	22	0	0	0	0	0	0	25	0	58	74	113	118	138	36	73	0	0	8	165	0	5	10	15	98	106	101	90	101	107	97	174	0	0	2	1	0	1	0	0	51	52	34	214	1787	34	0	6	8	6
Rupsha	183	363	546	534	1080	152	175	151	116	37	1	44	55	3	18	23	29	57	21	18	25	58	1	11	1	6	0	0	67	5	53	47	96	90	91	0	33	0	0	19	201	29	14	50	4	101	126	125	145	82	109	106	137	1	0	0	2	0	2	0	0	33	35	26	189	1412	47	0	7	5	14
Koyra	164	397	561	463	1024	228	147	80	100	111	16	27	18	2	17	14	20	29	26	14	15	24	0	0	0	0	0	0	0	0	64	63	224	212	265	1	145	7	0	190	196	0	5	10	6	232	232	247	216	243	290	255	143	1	0	0	0	0	0	0	0	36	36	13	538	1616	84	0	10	7	15
