thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Durgapur	199	209	408	748	1156	215	241	196	131	24	5	54	85	0	100	78	62	113	98	28	61	76	0	15	0	4	0	0	34	4	124	129	161	127	140	23	40	0	0	104	130	37	28	42	91	146	161	183	179	158	182	172	161	2	1	0	1	0	1	1	0	45	47	90	155	2112	0	0	2	1	17
Poba (Sadar)	216	931	1147	848	1995	296	320	259	154	36	12	118	102	0	20	57	66	84	46	62	63	52	3	0	3	2	0	1	45	14	125	110	97	105	147	3	35	0	0	189	399	3	68	3	5	167	165	188	244	170	143	185	243	0	2	0	0	0	0	0	0	62	62	106	707	3418	100	0	14	6	21
Mohanpur	146	398	544	443	987	277	202	245	183	67	8	93	67	46	44	33	51	77	47	34	56	86	1	23	1	8	0	0	37	16	90	113	115	108	124	23	30	1	0	123	199	0	322	8	13	110	109	143	131	124	115	110	235	1	0	0	0	1	1	0	0	40	41	25	783	4555	180	1	13	4	16
Puthiya	209	520	729	636	1365	243	185	179	104	35	4	71	148	0	17	11	30	76	8	24	35	67	0	0	0	1	0	0	50	11	118	108	101	94	121	6	130	4	0	112	121	0	7	139	100	108	128	134	133	109	157	131	258	2	1	1	1	0	1	0	1	70	72	104	74	693	221	0	20	20	42
Bagmara	320	793	1113	1280	2393	359	359	354	260	75	15	155	135	44	129	64	68	111	132	67	67	111	6	131	6	10	0	0	133	36	192	201	193	215	204	8	143	7	2	110	351	41	441	35	97	180	187	177	189	181	193	175	284	4	2	0	3	0	3	1	0	81	85	113	1064	6287	723	0	44	31	92
Charghat	228	432	660	730	1390	178	135	111	73	6	5	107	112	2	21	16	19	58	4	5	5	18	1	3	1	0	0	0	35	7	33	41	40	30	33	5	95	6	0	29	101	11	70	4	7	34	39	39	39	23	41	41	226	2	2	0	2	0	2	0	0	50	52	113	367	2217	116	1	3	2	29
Boalia	656	1926	2582	1621	4203	1403	1330	1728	1136	1	0	222	152	286	433	349	365	409	349	305	261	249	3	142	3	8	0	2	28	0	201	218	214	229	205	10	316	97	27	762	1082	251	552	340	253	459	480	492	460	284	439	331	390	0	0	0	0	0	0	0	0	9	9	113	5697	18550	209	0	11	0	0
Tanore	162	434	596	633	1229	85	118	89	101	46	2	58	51	0	47	58	53	78	45	57	56	85	0	0	0	0	0	0	15	4	96	85	88	81	85	23	85	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	40	40	108	386	1972	42	0	7	7	7
Godagari	285	1114	1399	782	2181	173	185	189	176	102	7	111	79	2	88	67	86	106	76	66	71	86	0	0	0	0	0	0	36	0	211	199	232	198	181	0	122	0	0	206	256	0	0	46	91	215	237	221	229	236	209	205	284	0	1	0	0	0	0	0	0	60	60	84	0	0	142	0	28	9	35
Bagha	179	437	616	559	1175	170	135	117	50	31	2	55	111	5	7	8	31	46	7	4	25	40	0	6	0	4	0	0	62	5	7	10	190	172	199	3	88	5	0	9	89	0	6	1	17	153	171	168	161	133	158	166	210	0	0	0	1	1	2	3	0	66	71	83	466	1911	18	0	0	4	21
