thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Durgapur	180	184	364	834	1198	290	306	214	147	16	4	50	115	0	92	77	31	119	92	77	32	77	0	7	0	0	0	0	26	8	31	34	109	123	86	10	154	0	0	47	173	87	8	69	130	120	148	140	152	114	143	134	185	1	1	0	0	0	0	1	0	63	64	109	217	3143	4	0	4	4	18
Poba (Sadar)	295	673	968	626	1594	352	264	255	136	29	11	132	115	0	68	74	60	92	62	67	54	56	7	0	7	0	0	0	51	12	113	115	96	91	99	5	33	0	0	233	290	0	38	0	0	135	132	126	123	166	136	99	292	0	0	0	0	0	0	0	0	75	75	109	222	3530	377	0	16	3	563
Mohanpur	179	499	678	356	1034	229	191	285	133	12	5	65	77	5	6	43	62	98	6	43	62	98	2	45	2	16	0	2	26	12	148	125	80	102	99	3	74	1	0	318	456	0	577	16	32	90	144	144	132	158	97	94	159	0	0	0	0	0	0	0	0	42	42	69	1431	6109	138	0	23	7	15
Puthiya	205	408	613	616	1229	325	224	165	98	31	7	54	92	0	12	18	34	62	10	12	25	37	0	0	0	2	0	0	28	7	131	123	109	102	128	11	121	3	1	87	171	0	0	107	112	122	134	137	120	128	154	113	184	0	0	0	0	0	0	0	0	49	49	111	96	1530	161	0	19	5	124
Bagmara	278	841	1119	1115	2234	502	388	332	285	52	4	103	154	22	81	72	98	112	84	72	100	105	6	14	6	17	0	0	126	57	245	207	213	174	219	48	322	11	0	643	545	91	337	48	75	207	211	214	216	210	223	191	267	0	1	0	0	0	0	0	0	83	83	115	1221	7061	612	6	34	19	85
Charghat	192	479	671	682	1353	162	137	140	58	8	3	49	101	2	16	14	24	39	8	7	15	32	2	2	2	3	0	0	25	14	43	36	35	26	30	9	35	0	0	61	53	0	48	0	4	55	62	57	15	50	48	39	161	0	1	1	1	0	1	0	0	27	28	67	116	1272	114	2	3	3	33
Boalia	484	2209	2693	2132	4825	2347	1661	1606	1831	0	0	156	143	183	437	381	205	208	273	220	184	187	8	54	8	17	0	2	23	0	282	306	307	271	251	2	53	170	37	239	351	420	486	298	252	581	591	585	511	315	478	322	299	0	0	0	0	0	0	0	0	7	7	119	5092	20125	189	0	11	0	0
Tanore	162	358	520	551	1071	136	188	142	85	17	22	36	59	0	24	31	42	47	22	30	40	44	0	27	0	0	0	0	2	1	130	120	103	91	98	17	158	16	0	0	203	42	133	0	0	100	100	108	107	99	89	86	137	0	0	0	0	0	0	0	0	34	34	80	389	2812	49	2	23	6	12
Godagari	253	951	1204	1120	2324	372	293	243	205	25	83	93	77	2	79	75	80	56	66	59	57	48	0	70	0	0	0	1	21	4	176	187	166	138	135	27	89	0	0	0	361	0	102	115	186	190	219	212	202	193	194	160	157	0	0	0	0	0	0	0	0	69	69	64	580	3175	193	0	27	9	39
Bagha	164	579	743	414	1157	241	151	131	96	28	0	47	111	2	15	12	44	69	12	11	28	57	2	6	2	8	0	0	60	5	64	83	132	138	147	10	59	5	0	8	164	0	3	7	31	124	147	151	190	113	163	204	192	0	0	0	0	0	0	0	0	55	55	69	517	2667	14	0	2	4	20
