DivisionCode,DivisionName,DistrictCode,DistrictName,UpazillaCode,UpazillaName
50,Rajshahi,88,Sirajganj ,44,Kamarkhanda 
50,Rajshahi,88,Sirajganj ,89,Tarash 
60,Sylhet,90,Sunamganj ,18,Bishwambarpur 
60,Sylhet,90,Sunamganj ,27,Dakshin Sunamganj 
60,Sylhet,90,Sunamganj ,32,Dharampasha 
60,Sylhet,90,Sunamganj ,33,Dowarabazar 
60,Sylhet,90,Sunamganj ,50,Jamalganj 
60,Sylhet,90,Sunamganj ,86,Sulla 
60,Sylhet,90,Sunamganj ,92,Tahirpur 
60,Sylhet,91,Sylhet ,8,Balaganj 
60,Sylhet,91,Sylhet ,20,Bishwanath 
60,Sylhet,91,Sylhet ,27,Companiganj 
60,Sylhet,91,Sylhet ,31,Dakshin Surma 
60,Sylhet,91,Sylhet ,35,Fenchuganj 
60,Sylhet,91,Sylhet ,41,Gowainghat 
60,Sylhet,91,Sylhet ,53,Jaintiapur 
30,Dhaka,93,Tangail ,9,Basail 
30,Dhaka,93,Tangail ,23,Delduar 
30,Dhaka,93,Tangail ,76,Nagarpur 
55,Rangpur,94,Thakurgaon ,8,Baliadangi 
55,Rangpur,94,Thakurgaon ,51,Haripur 
