   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:48
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Azmiriganj	19650	8715	924	1711	215	91	212	2300	2512	14168	72.1018
Bahubal	32990	14129	2440	3479	1050	402	998	2287	3285	24785	75.1288
Madhabpur	60932	28347	3651	4651	1851	869	2510	3933	6443	45812	75.1855
Lakhai	27319	11191	1787	2980	357	257	330	2130	2460	19032	69.6658
Habiganj Sadar	58023	23669	4180	7613	2314	1115	2326	5096	7422	46313	79.8183
Baniachhong	55566	20671	3853	6052	1089	215	1546	3091	4637	36517	65.7182
Chunarughat	58803	25356	3791	6502	2220	565	3146	3415	6561	44995	76.5182
Nabiganj	57278	20854	2411	7421	3195	1832	2884	3362	6246	41959	73.2550

 
