   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:51
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	92852	34100	17475	12589	2268	3443	2839	3848	6687	76562	82.4560
Dumuria	65015	24919	3938	10578	1633	3140	3047	6510	9557	53765	82.6963
Khulna Sadar	75559	26750	11938	9696	2384	3579	3688	3116	6804	61151	80.9315
Dacope	30901	14823	1118	3544	271	1273	661	2814	3475	24504	79.2984
Terokhada	25352	10040	2261	2612	1062	1479	935	1491	2426	19880	78.4159
Fultala	27681	9441	3013	4904	752	1125	1519	2256	3775	23010	83.1256
Batiaghata	37795	15145	2148	5340	1901	1312	1946	1843	3789	29635	78.4098
Paikgachha	57244	23679	1687	8216	1178	3091	1844	6103	7947	45798	80.0049
Rupsha	37290	14784	2497	4626	1327	1598	1784	2888	4672	29504	79.1204
Koyra	40233	20223	1466	3511	646	1444	1557	2842	4399	31689	78.7637

 
