   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Azmiriganj	19018	7273	780	1447	235	92	159	2065	2224	12051	63.3663
Bahubal	32161	14125	2565	3297	1267	387	935	2203	3138	24779	77.0467
Madhabpur	58763	27149	3721	4441	2128	903	2286	3633	5919	44261	75.3212
Lakhai	26404	10410	1680	2777	307	258	185	1821	2006	17438	66.0430
Habiganj Sadar	56060	23382	4307	6683	2207	819	2019	4429	6448	43846	78.2126
Baniachhong	53329	19112	3524	5234	1122	172	1384	2635	4019	33183	62.2232
Chunarughat	56390	24447	3617	6459	2274	790	2932	3351	6283	43870	77.7975
Nabiganj	54275	19104	2035	7284	3348	1403	2602	2968	5570	38744	71.3846

 
