   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:03
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	112617	36892	10493	20388	4469	5342	3499	7046	10545	88129	78.2555
Chouddagram	87323	33499	4773	17899	3745	2536	952	7440	8392	70844	81.1287
Barura	87303	32175	4415	16407	3219	3363	2111	5739	7850	67429	77.2356
Laksham	55666	22534	3177	9234	893	1193	552	4825	5377	42408	76.1829
Burichong	66723	24694	5531	8617	2996	3965	2134	4704	6838	52641	78.8948
Brahmanpara	40889	15621	2555	6027	1674	1918	635	4371	5006	32801	80.2196
Homna	40327	12748	3495	8395	2179	794	374	2771	3145	30756	76.2665
Muradnagar	113226	39449	8604	19297	4422	4673	971	9211	10182	86627	76.5080
Debidwar	91090	37558	6041	14613	3453	2313	1449	7426	8875	72853	79.9791
Daudkandi	72835	23063	5013	12558	3587	1995	1269	7682	8951	55167	75.7424
Chandina	75987	28811	4249	13506	2496	1446	2846	4610	7456	57964	76.2815
Nangolkot	75293	23536	5210	13760	1791	2846	285	7466	7751	54894	72.9072
Meghna	22354	6967	1479	5534	626	526	142	2368	2510	17642	78.9210
Titash	38429	10737	3551	7992	2017	1260	473	4423	4896	30453	79.2448
Comilla Sadar South	82497	34435	4197	11661	1818	1892	1608	5379	6987	60990	73.9300
Monohargonj	48953	18766	3776	7639	1119	1434	455	4633	5088	37822	77.2619

 
