   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	83760	30071	9706	10273	2390	923	703	8976	9679	63042	75.2650
Boalmari	49592	17627	3745	7726	3121	160	1061	3584	4645	37024	74.6572
Bhanga	48881	19579	3512	4886	2621	184	892	4645	5537	36319	74.3009
Char Bhadrashion	12442	3939	1832	1453	636	204	114	1074	1188	9252	74.3610
Nagarkanda	66283	27063	6309	8209	2783	449	815	4174	4989	49802	75.1354
Sadarpur	32380	10968	3550	4104	1220	357	149	2785	2934	23133	71.4422
Alphadanga	21503	7985	1687	3315	886	29	526	1280	1806	15708	73.0503
Modhukhali	41005	16622	2680	4841	1298	195	752	3794	4546	30182	73.6057

 
