   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:58
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	86844	29659	8149	14292	2982	2766	2602	6228	8830	66678	76.7791
Chouddagram	86338	32830	4493	17547	3351	1731	879	7185	8064	68016	78.7788
Barura	85962	32109	4445	16286	2919	2475	1984	5532	7516	65750	76.4873
Laksham	54655	22344	3047	9480	725	824	500	4571	5071	41491	75.9144
Burichong	64881	24066	5515	8311	2616	3598	2042	4565	6607	50713	78.1631
Brahmanpara	40192	15416	2608	6320	1596	1711	633	4136	4769	32420	80.6628
Homna	39855	12370	3545	8259	2100	659	369	2648	3017	29950	75.1474
Muradnagar	111679	38972	8634	19792	4397	3976	935	8854	9789	85560	76.6124
Debidwar	90120	36244	6127	15047	3322	1823	1382	7202	8584	71147	78.9470
Daudkandi	71833	23255	5291	12961	3519	1848	1115	7398	8513	55387	77.1052
Chandina	74638	27440	4182	13242	2255	1148	2469	4289	6758	55025	73.7225
Nangolkot	73823	22218	4975	13339	1416	1822	267	6967	7234	51004	69.0896
Meghna	22072	6946	1479	5524	597	392	125	2227	2352	17290	78.3345
Titash	37858	10600	3454	7926	1883	1109	457	4172	4629	29601	78.1896
Comilla Sadar South	81186	33264	3967	11412	1597	1496	1451	5144	6595	58331	71.8486
Monohargonj	48208	18597	3779	7609	1037	1023	431	4455	4886	36931	76.6076

 
