   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bagerhat Sadar	53549	21845	4334	8674	1582	2470	2446	4680	7126	46031	85.9605
Fakirhat	29655	12006	2755	3838	1244	1034	613	2647	3260	24137	81.3927
Sarankhola	21738	7962	1685	4705	934	576	1240	683	1923	17785	81.8153
Morralganj	63835	27659	3789	10441	2474	1518	2783	2806	5589	51470	80.6297
Kachua	19921	7897	1532	2785	736	1050	1103	1330	2433	16433	82.4908
Mollahat	26827	10440	1994	3371	1213	636	862	2154	3016	20670	77.0492
Rampal	33406	15330	2572	2673	1043	980	1721	2591	4312	26910	80.5544
Chitalmari	27110	9876	2236	5117	476	992	646	1542	2188	20885	77.0380
Mongla	26242	11355	2348	3159	897	865	1625	1471	3096	21720	82.7681

 
