   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:02
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kutubdia	22628	7054	660	6799	346	1320	282	626	908	17087	75.5126
Moheshkhali	57058	23901	1712	9963	2332	3760	2477	1719	4196	45864	80.3814
Coxs Bazar Sadar	81569	28374	6801	14088	2600	3960	2272	3104	5376	61199	75.0273
Ramu	44729	12102	1993	11300	2351	2764	2797	2280	5077	35587	79.5614
Chakaria	80598	30431	4180	20285	2475	3980	1604	3944	5548	66899	83.0033
Ukhiya	37865	15080	1757	8050	566	2370	830	952	1782	29605	78.1857
Teknaf	48270	15007	2615	14443	601	1361	1580	1133	2713	36740	76.1135
Pekua	31643	10748	760	8301	407	1824	595	953	1548	23588	74.5441

 
