   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:54
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	92239	32676	17507	11739	2366	4536	2809	4098	6907	75731	82.1030
Dumuria	63819	24736	4115	10220	1396	3123	2743	5809	8552	52142	81.7029
Khulna Sadar	75639	27102	11412	9476	2217	3562	3776	3173	6949	60718	80.2734
Dacope	30804	14921	1182	3556	223	1560	627	2773	3400	24842	80.6454
Terokhada	25999	10038	2276	2729	1020	1471	939	1516	2455	19989	76.8837
Fultala	27368	9079	3152	4788	630	974	1413	2001	3414	22037	80.5210
Batiaghata	37939	15803	2581	5131	1559	1333	1672	1671	3343	29750	78.4154
Paikgachha	57183	23661	1663	8027	1038	2955	1820	6041	7861	45205	79.0532
Rupsha	37352	14937	2726	4394	1372	1893	1803	3059	4862	30184	80.8096
Koyra	40291	20509	1495	3550	595	1372	1397	2617	4014	31535	78.2681

 
