   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:24
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jamalpur Sadar	131709	53698	4112	19142	1443	2095	2222	11702	13924	94414	71.6838
Melandaha	63737	26086	2025	10340	1636	1305	761	3089	3850	45242	70.9823
Dewanganj	49817	18532	2256	9533	2922	640	235	2531	2766	36649	73.5673
Islampur	63129	27278	2940	11030	1485	1249	891	2564	3455	47437	75.1430
Sharishabari	71813	30062	2608	10810	1609	2321	1624	3976	5600	53010	73.8167
Madarganj	55257	20010	1315	7400	2486	1394	669	4563	5232	37837	68.4746
Bakshiganj	55368	25500	2759	9489	1827	1092	421	1779	2200	42867	77.4220

 
