   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Barisal Sadar	80333	28528	5558	13430	1590	1764	1293	3722	5015	55885	69.5667
Uzirpur	45922	18900	1595	6210	1023	740	637	3892	4529	32997	71.8544
Bakerganj	60695	21297	2666	8199	2744	397	1064	6047	7111	42414	69.8806
Babuganj	28840	10296	1142	4617	1060	484	529	1669	2198	19797	68.6442
Mehendiganj	54446	19294	3895	7220	1966	669	1951	2676	4627	37671	69.1897
Gournadi	34369	13782	1144	3957	936	435	279	3421	3700	23954	69.6965
Muladi	33447	12195	2398	5911	1823	308	293	1534	1827	24462	73.1366
Hizla	21792	7662	1524	4232	783	172	330	589	919	15292	70.1725
Agailjhara	27793	11274	1343	2534	1073	283	240	3898	4138	20645	74.2813
Banaripara	27955	11400	997	3203	1357	301	251	1910	2161	19419	69.4652

 
