   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:58
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	53183	20192	4325	8489	1394	1123	541	4263	4804	40327	75.8269
Begumganj	108107	38854	8015	18525	4602	2204	918	9424	10342	82542	76.3521
Companiganj	48588	16596	3497	7019	1919	948	921	2735	3656	33635	69.2249
Sudharam (Sadar)	87458	28265	8597	17352	2287	2680	974	6654	7628	66809	76.3898
Hatiya	71998	26960	3606	17630	1093	1561	2084	1558	3642	54492	75.6854
Chatkhil	44593	16716	2567	5945	1818	1383	314	3627	3941	32370	72.5899
Subarna Char	51103	16602	4833	9722	831	2482	1174	2821	3995	38465	75.2696
Sonaimuri	63759	25743	4865	9400	2021	739	333	6145	6478	49246	77.2377
Kabirhat	35245	12765	2389	6853	861	1038	184	3093	3277	27183	77.1258

 
