   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:35
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	44802	15189	1455	9523	1507	205	333	3130	3463	31342	69.9567
Matlab (South)	40853	13077	2196	10133	659	357	372	2486	2858	29280	71.6716
Hajiganj	58174	22110	1923	11977	1619	510	427	3383	3810	41949	72.1095
Chandpur Sadar	67239	25634	2280	13537	1721	1413	822	4271	5093	49678	73.8827
Kachua	73969	25957	3639	14653	1451	953	1005	4514	5519	52172	70.5322
Faridganj	78297	30840	3955	13167	1637	1087	486	5421	5907	56593	72.2799
Hemchar	18167	7106	537	3138	576	369	124	1534	1658	13384	73.6720
Motlab (North)	56012	20391	2657	9223	1348	508	240	6382	6622	40749	72.7505

 
