   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	34774	14443	1799	4820	1427	970	579	2239	2818	26277	75.5651
Pabna Sadar	127494	41986	9458	29643	5337	2994	4543	7034	11577	100995	79.2155
Chatmohor	70531	31016	4268	6094	3362	1551	944	7003	7947	54238	76.8995
Ishwardi	69332	24568	7136	11604	2577	2879	898	5220	6118	54882	79.1583
Faridpur	27964	9960	1765	6585	1134	634	1075	1878	2953	23031	82.3595
Sujanagar	59744	21310	3228	10272	4732	2392	605	4867	5472	47406	79.3486
Santhia	87287	36108	3876	19364	3186	2356	1395	4802	6197	71087	81.4405
Bera	54649	24019	3107	8994	2005	1594	838	2550	3388	43107	78.8798
Bhangoora	28430	13116	1934	2684	1212	339	991	1731	2722	22007	77.4077

 
