   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:37
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bochaganj	33763	14079	1256	4123	300	695	1874	4391	6265	26718	79.1340
Kaharole	34091	13406	532	4319	498	628	1736	5438	7174	26557	77.9003
Fulbari	35589	15385	1489	2204	514	853	3361	4229	7590	28035	78.7743
Khanshama	38258	15863	620	5990	416	789	1832	4501	6333	30011	78.4437
Dinajpur Sadar	95331	36854	6133	12013	1218	2202	7934	8618	16552	74972	78.6439
Hakimpur	19484	8304	1488	2041	276	375	1933	1102	3035	15519	79.6500
Birganj	67035	28403	1507	7621	469	1746	3613	8774	12387	52133	77.7698
Ghoraghat	25096	12125	1317	2003	628	378	1608	1758	3366	19817	78.9648
Birol	54691	24008	1503	5478	934	1254	2819	7431	10250	43427	79.4043
Chirir Bandar	62487	28082	1489	6595	506	679	3991	8484	12475	49826	79.7382
Parbatipur	81202	33075	4143	10185	887	1328	7473	9124	16597	66215	81.5436
Nawabganj	48380	21416	1435	6388	860	486	3678	2955	6633	37218	76.9285
Birampur	35743	15325	1326	2722	1219	558	4621	2724	7345	28495	79.7219

 
