   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:32
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	14948	6650	1805	1848	174	461	169	769	938	11876	79.4488
Kawkhali	9780	3718	544	1406	249	849	48	757	805	7571	77.4131
Rangamati Sadar	16855	7017	1375	2675	857	647	133	1047	1180	13751	81.5841
Baghaichhari	11185	5782	741	929	344	1	27	458	485	8282	74.0456
Barkal	5936	2545	358	653	187	6	56	254	310	4059	68.3794
Naniarchar	8009	3509	419	836	286	315	124	534	658	6023	75.2029
Jurachhari	3630	1998	111	380	126	3	33	133	166	2784	76.6942
Kaptai	10727	3646	729	1705	258	467	8	713	721	7526	70.1594
Rajasthali	4319	1504	109	589	211	223	102	231	333	2969	68.7428
Belaichhari	4166	1987	131	413	200	57	11	230	241	3029	72.7076

 
