   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	16612	5267	1392	1658	680	497	485	1436	1921	11415	68.7154
Gowainghat	47566	13428	3370	9306	2637	894	1401	4796	6197	35832	75.3311
Jakiganj	33150	9478	3995	4704	2103	1357	1679	1786	3465	25102	75.7225
Jaintapur	25830	8263	1932	5666	1030	534	712	1436	2148	19573	75.7762
Balaganj	48272	13153	4127	7134	1781	2321	1008	5181	6189	34705	71.8947
Golapganj	44041	14671	6471	3472	1392	1217	1018	4467	5485	32708	74.2672
Sylhet Sadar	84087	28901	9619	9237	1781	2987	1779	5609	7388	59913	71.2512
Biani Bazar	33725	10041	3954	3501	2440	392	1135	2488	3623	23951	71.0185
Kanaighat	46676	13082	4174	8516	2636	790	2321	1523	3844	33042	70.7901
Biswanath	30118	10555	3515	2649	783	976	564	3620	4184	22662	75.2440
Companiganj	25357	8319	1769	4759	1044	789	159	2063	2222	18902	74.5435
South Shurma	47056	15263	4829	6627	1440	1651	1152	3839	4991	34801	73.9566

 
