   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:30
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Rupganj	82070	36069	3434	9707	2066	1294	550	7090	7640	60210	73.3642
Sonargaon	68034	25334	3918	10861	2268	1309	424	5302	5726	49416	72.6343
Narayanganj Sadar	186666	81154	19300	26380	3994	1611	2202	10011	12213	144652	77.4924
Araihazar	69693	26011	4243	8857	1865	948	282	7371	7653	49577	71.1363
Bandar	57374	21415	5229	6541	1076	1203	1128	4561	5689	41153	71.7276

 
