   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	100331	35631	9728	19422	2563	3085	2078	5600	7678	78107	77.8493
Chouddagram	82810	30331	3431	16646	2319	1613	572	6529	7101	61441	74.1951
Barura	79715	32229	4011	14967	2052	1614	1286	4938	6224	61097	76.6443
Laksham	52569	21825	2608	9347	565	700	337	4063	4400	39445	75.0347
Burichong	57323	22966	4592	8011	1924	1620	1310	4213	5523	44636	77.8675
Brahmanpara	38005	12828	2163	5848	1376	1347	490	3613	4103	27665	72.7931
Homna	36655	11711	3112	7839	2396	651	298	2534	2832	28541	77.8639
Muradnagar	104009	36647	8614	17690	4369	1328	808	8138	8946	77594	74.6032
Debidwar	87825	34969	6280	14091	2621	1431	924	6349	7273	66665	75.9066
Daudkandi	68211	22671	5196	13232	3237	1743	556	6295	6851	52930	77.5975
Chandina	71721	27029	3666	13364	2148	831	2021	4007	6028	53066	73.9895
Nangolkot	76570	21992	6266	15322	1682	1453	268	7178	7446	54161	70.7340
Meghna	19910	6070	1101	4695	626	220	87	1815	1902	14614	73.4003
Titash	34935	9458	3083	7139	1391	779	328	3209	3537	25387	72.6692
Comilla Sadar South	75603	31005	3526	12212	1698	1148	1015	5523	6538	56127	74.2391
Monohargonj	46925	18147	3496	7257	780	496	336	3657	3993	34169	72.8162

 
