   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:04
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	94381	31337	14082	10952	2545	4968	2149	9502	11651	75535	80.0320
Boalmari	56085	20936	4855	7470	2987	2204	1397	4528	5925	44377	79.1245
Bhanga	54783	19244	4403	4928	3497	2184	1222	7235	8457	42713	77.9676
Char Bhadrashion	13447	4045	2066	1369	548	1031	175	1356	1531	10590	78.7536
Nagarkanda	36930	14002	4210	4426	1319	1704	999	3275	4274	29935	81.0588
Sadarpur	34579	12333	4279	4044	975	1666	248	3145	3393	26690	77.1856
Alphadanga	22361	7874	2141	3644	1297	862	607	1686	2293	18111	80.9937
Modhukhali	45507	18459	3632	6266	1280	2253	983	4619	5602	37492	82.3873
Saltha	34360	12799	3082	5116	1287	1579	766	2437	3203	27066	78.7718

 
