   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:51
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	93811	32163	12198	13053	2527	2889	2078	10339	12417	75247	80.2113
Boalmari	55135	19822	4871	8045	3203	1002	1370	4739	6109	43052	78.0847
Bhanga	53250	19881	4128	5080	3788	1664	1226	7060	8286	42827	80.4263
Char Bhadrashion	13383	4079	1965	1636	731	808	168	1317	1485	10704	79.9821
Nagarkanda	36053	14252	3918	4777	1284	1062	877	3017	3894	29187	80.9558
Sadarpur	34326	11335	3649	4337	1009	1083	228	3452	3680	25093	73.1020
Alphadanga	21608	7875	1854	3832	983	352	623	1687	2310	17206	79.6279
Modhukhali	43968	17748	3231	5792	1052	1246	940	4581	5521	34590	78.6709
Saltha	33382	12569	3502	5010	1251	724	779	2367	3146	26202	78.4914

 
