   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bochaganj	33922	14097	1305	4099	328	755	1980	4393	6373	26957	79.4676
Kaharole	34328	13348	527	4323	528	725	1900	5553	7453	26904	78.3733
Fulbari	35717	15220	1467	2209	523	1095	3470	4274	7744	28258	79.1164
Khanshama	38561	15940	621	5891	413	961	1928	4591	6519	30345	78.6935
Dinajpur Sadar	95947	36971	6114	12152	1264	2312	8165	8782	16947	75760	78.9603
Hakimpur	19513	8185	1457	2092	300	429	1974	1122	3096	15559	79.7366
Birganj	67811	27739	1568	7510	463	3196	3700	8909	12609	53085	78.2838
Ghoraghat	25278	12097	1209	2089	653	455	1662	1724	3386	19889	78.6811
Birol	54660	23735	1472	5549	973	1484	2866	7539	10405	43618	79.7988
Chirir Bandar	63125	28139	1516	6741	546	691	4096	8626	12722	50355	79.7703
Parbatipur	81505	33112	4187	10019	942	1505	7692	9202	16894	66659	81.7852
Nawabganj	48578	21341	1457	6395	869	650	3787	3001	6788	37500	77.1954
Birampur	35816	15299	1381	2725	1241	656	4722	2781	7503	28805	80.4249

 
