   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	86092	31174	9533	9690	2801	1410	572	9583	10155	64763	75.2253
Boalmari	50762	16963	3358	9245	3467	241	1012	3562	4574	37848	74.5597
Bhanga	47857	18822	3579	4924	2591	168	796	4172	4968	35052	73.2432
Char Bhadrashion	12175	3382	1543	1421	658	229	107	1008	1115	8348	68.5667
Nagarkanda	67013	24995	6625	7536	3096	540	724	3878	4602	47394	70.7236
Sadarpur	32396	10159	3236	4006	1224	460	135	2605	2740	21825	67.3694
Alphadanga	22340	8680	1628	3102	934	22	498	1283	1781	16147	72.2784
Modhukhali	40156	16304	2508	4565	1444	227	702	3795	4497	29545	73.5756

 
