   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	99912	35098	9265	16315	2867	2736	604	4964	5568	71849	71.9123
Chouddagram	78777	24929	2128	13676	1579	805	278	5264	5542	48659	61.7680
Barura	73198	30447	2372	11675	1677	744	684	4385	5069	51984	71.0183
Laksham	56520	22874	2442	9181	650	260	265	3497	3762	39169	69.3011
Burichong	51817	21171	2567	6896	1781	775	425	3677	4102	37292	71.9687
Brahmanpara	35723	11310	1447	4762	1342	865	391	2850	3241	22967	64.2919
Homna	35779	9628	2043	6791	2151	489	145	2190	2335	23437	65.5049
Muradnagar	99612	29354	5072	12881	4218	332	696	7204	7900	59757	59.9898
Debidwar	84618	29827	4077	10908	2681	904	658	5122	5780	54177	64.0254
Daudkandi	62411	18786	3584	11226	2772	1187	357	4850	5207	42762	68.5168
Chandina	68366	22359	2831	11466	2273	522	1338	3326	4664	44115	64.5277
Nangolkot	66522	18366	3991	12858	1726	1071	214	5717	5931	43943	66.0578
Meghna	19602	5123	770	3883	780	107	72	1615	1687	12350	63.0038
Titash	32402	8226	2781	6726	1455	595	140	2448	2588	22371	69.0420
Comilla Sadar South	69884	27147	2172	9542	1429	497	617	4805	5422	46209	66.1224
Monohargonj	43845	15492	2923	5599	787	281	214	3200	3414	28496	64.9926

 
