   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	43535	13956	911	9456	1759	252	320	2777	3097	29431	67.6031
Matlab (South)	40865	12137	1546	9458	704	157	310	2496	2806	26808	65.6014
Hajiganj	57022	20714	1710	10291	1446	530	330	3052	3382	38073	66.7690
Chandpur Sadar	64792	23239	1549	11999	1441	522	686	4195	4881	43631	67.3401
Kachua	72481	24364	2568	13033	1494	574	845	4237	5082	47115	65.0032
Faridganj	77259	28663	3152	12083	1468	648	397	5273	5670	51684	66.8971
Hemchar	18512	7008	407	2884	539	251	80	1581	1661	12750	68.8742
Motlab (North)	55398	19190	1935	7976	960	275	188	6176	6364	36700	66.2479

 
