   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:39
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Narshingdi Sadar	108560	42771	6248	21203	2238	2258	1004	7717	8721	83439	76.8598
Raipura	100051	35552	9411	13312	4181	1132	611	7300	7911	71499	71.4626
Monohordi	54583	22050	2838	9206	2196	623	262	4004	4266	41179	75.4429
Shibpur	51677	20100	3618	7663	2989	1271	387	4119	4506	40147	77.6883
Palash	39429	15450	1870	5164	1666	489	319	2600	2919	27558	69.8927
Belaboo	37712	14335	2289	5196	1557	930	328	3645	3973	28280	74.9894

 
