   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Durgapur	42754	17539	3025	4672	409	931	515	5642	6157	32733	76.5613
Poba (Sadar)	68747	20282	5950	14497	1001	1559	756	11948	12704	55993	81.4479
Mohanpur	40826	18426	1764	7066	605	1130	761	4232	4993	33984	83.2411
Puthiya	48040	18342	3487	6221	468	662	295	8091	8386	37566	78.1973
Bagmara	94942	42235	5521	12883	1633	1751	2559	9445	12004	76027	80.0773
Charghat	46691	18777	2951	8175	866	783	346	5786	6132	37684	80.7093
Boalia	28027	8738	7597	2114	307	180	207	3634	3841	22777	81.2681
Tanore	42359	18556	1437	4321	644	1688	954	5723	6677	33323	78.6681
Godagari	65075	17779	4515	11402	1190	675	1899	11247	13146	48707	74.8475
Bagha	41730	14316	3272	9244	509	851	193	6583	6776	34968	83.7958

 
