   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:35
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kazipur	56185	21379	3191	12618	1931	619	1355	2858	4213	43951	78.2255
Rayganj	66030	30585	2446	11690	2207	516	1635	2180	3815	51259	77.6299
Tarash	44337	21191	1435	6402	1024	833	1663	1141	2804	33689	75.9839
Sirajganj Sadar	104070	40238	10335	19016	2953	1012	1933	2349	4282	77836	74.7920
Kamarkhand	27606	11315	1393	4758	1071	460	490	962	1452	20449	74.0745
Chouhali	17284	6298	1106	3493	857	420	272	427	699	12873	74.4793
Ullahpara	121056	49982	7227	24005	2671	1380	2672	4331	7003	92268	76.2193
Belkuchi	59991	27182	5418	8062	1750	314	893	1092	1985	44711	74.5295
Shazadpur	118409	43835	7530	25920	3367	636	1079	3434	4513	85801	72.4616

 
