   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	56154	21687	3282	6589	1890	480	928	3277	4205	38133	67.9079
Bhariab Bazar	49260	20702	3077	6469	1088	316	569	2160	2729	34381	69.7950
Austagram	24698	10204	1630	2353	1012	41	28	1444	1472	16712	67.6654
Kishoreganj Sadar	60275	27670	2534	6330	1060	1156	1440	3082	4522	43272	71.7910
Hossainpur	36340	16345	1513	4009	1225	643	395	2485	2880	26615	73.2389
Nikli	26746	9767	1149	3825	2014	139	118	1904	2022	18916	70.7246
Bazitpur	43065	19749	2750	3799	1417	210	1053	2105	3158	31083	72.1769
Pakundia	48854	20206	3113	4852	1562	539	1126	2111	3237	33509	68.5901
Itna	30773	13938	1978	2329	968	60	465	1827	2292	21565	70.0777
Kuliarchar	34360	12738	2397	3810	1061	225	742	1872	2614	22845	66.4872
Tarail	29032	13419	1203	2535	734	307	408	1729	2137	20335	70.0434
Karimganj	53559	25199	2159	6921	1944	747	802	2670	3472	40442	75.5093
Mithamoin	21433	8505	1132	1717	831	11	383	1005	1388	13584	63.3789

 
