   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:47
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Nachol	31113	12122	2988	4527	277	410	1768	3195	4963	25287	81.2747
Gomostapur	60205	23299	5526	7748	728	229	4985	4788	9773	47303	78.5699
Shibganj	125744	51588	11998	19736	2947	1492	4357	9766	14123	101884	81.0249
Chapai Nawabganj (Sadar)	114394	45169	13877	20625	1333	509	4896	6946	11842	93355	81.6083
Bholahat	24129	10247	2160	3317	483	238	2018	1602	3620	20065	83.1572

 
