   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:16
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Brahmanbaria Sadar	118625	32380	10992	17416	5890	1381	529	7641	8170	76229	64.2605
Nasirnagar	51084	16167	3068	3953	641	159	75	3894	3969	27957	54.7275
Nabinagar	76780	20985	7434	10648	2434	367	259	5719	5978	47846	62.3157
Kashba	57517	18585	5638	8054	2222	550	376	3758	4134	39183	68.1242
Sarail	45468	13984	4351	5397	1193	709	296	2287	2583	28217	62.0590
Bancharampur	49706	12535	2272	8620	1870	396	141	3405	3546	29239	58.8239
Akhaura	25518	9106	1818	3895	768	257	87	1706	1793	17637	69.1159
Ashuganj	24633	6514	2963	4200	1658	209	40	1570	1610	17154	69.6383

 
