   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	50799	18533	4277	7699	1463	404	493	3997	4490	36866	72.5723
Begumganj	100901	38958	6737	16897	3692	769	795	8389	9184	76237	75.5562
Companiganj	45301	15992	3276	6744	2097	633	886	2708	3594	32336	71.3803
Sudharam (Sadar)	84882	28635	8298	16890	1842	1566	1058	6610	7668	64899	76.4579
Hatiya	60162	21240	2623	14863	953	235	1928	1537	3465	43379	72.1037
Chatkhil	42639	15908	2200	5651	1677	826	289	3106	3395	29657	69.5537
Subarna Char	34239	10691	4080	5687	470	1119	877	2437	3314	25361	74.0705
Sonaimuri	57867	24396	4319	7849	1977	501	319	5132	5451	44493	76.8884
Kabirhat	28745	10477	1885	4138	795	290	205	2559	2764	20349	70.7914

 
