   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	16415	5260	1450	1773	725	592	458	1390	1848	11648	70.9595
Gowainghat	46696	13172	3366	9032	2590	815	1408	4591	5999	34974	74.8972
Jakiganj	32694	9554	4039	4565	2025	1289	1589	1620	3209	24681	75.4909
Jaintapur	25550	8144	1975	5500	1027	520	653	1333	1986	19152	74.9589
Balaganj	48697	14026	4566	7476	1804	2371	933	4979	5912	36155	74.2448
Golapganj	43313	14398	6473	3549	1230	1083	960	4228	5188	31921	73.6984
Sylhet Sadar	80303	28964	9401	9805	1799	2839	1542	5336	6878	59686	74.3260
Biani Bazar	33192	10018	3923	3463	2487	369	1086	2241	3327	23587	71.0623
Kanaighat	46798	13153	4357	8402	2741	765	2247	1376	3623	33041	70.6034
Biswanath	30652	11172	3602	2801	811	973	522	3634	4156	23515	76.7160
Companiganj	25917	8748	1432	5293	964	756	146	2007	2153	19346	74.6460
South Shurma	46980	15977	4989	6855	1432	1573	1090	3670	4760	35586	75.7471

 
