   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:24
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bochaganj	32951	13657	1112	3446	220	723	1339	4225	5564	24722	75.0266
Kaharole	32572	13229	514	3762	404	469	1311	5004	6315	24693	75.8105
Fulbari	35034	15310	1317	1845	470	952	2364	4204	6568	26462	75.5323
Khanshama	35567	16062	414	4220	347	1065	1320	4365	5685	27793	78.1427
Dinajpur Sadar	92230	38039	5995	11011	990	1957	5362	7552	12914	70906	76.8795
Hakimpur	18566	8473	1080	1604	248	464	1366	1029	2395	14264	76.8286
Birganj	61634	28173	1401	6075	502	1169	2633	7423	10056	47376	76.8667
Ghoraghat	24397	12164	1214	1496	580	340	1243	1592	2835	18629	76.3577
Birol	53657	25680	1323	3864	562	1066	2118	6233	8351	40846	76.1243
Chirir Bandar	60062	28590	950	4950	465	1076	2883	8190	11073	47104	78.4256
Parbatipur	75700	31530	3482	10179	679	1305	4093	8734	12827	60002	79.2629
Nawabganj	46825	22292	1044	4558	786	418	2574	2502	5076	34174	72.9824
Birampur	34744	15247	1141	2109	1186	713	3243	2666	5909	26305	75.7109

 
