   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	31330	12730	2744	3450	1102	974	903	1499	2402	23402	74.6952
Dumuria	62069	26565	3289	7391	1864	1307	2951	5379	8330	48746	78.5352
Khulna Sadar	180142	70637	19369	40138	4531	2155	1868	1702	3570	140400	77.9385
Dacope	30916	17150	979	2408	547	357	377	2692	3069	24510	79.2793
Terokhada	23371	10211	2573	2791	1114	994	510	722	1232	18915	80.9336
Fultala	25049	10112	2348	4604	786	604	1112	1524	2636	21090	84.1950
Batiaghata	32983	13995	1769	4302	2253	560	1566	1532	3098	25977	78.7588
Paikgachha	54485	28899	1591	6718	1282	672	840	4151	4991	44153	81.0370
Rupsha	34862	14451	2258	4582	1892	721	1318	1905	3223	27127	77.8125
Koyra	40468	23582	1250	3472	667	741	948	2295	3243	32955	81.4347

 
