   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:58
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kutubdia	22217	6972	672	6863	341	877	245	645	890	16615	74.7851
Moheshkhali	55893	23302	1555	9911	1838	2856	2248	1700	3948	43410	77.6663
Coxs Bazar Sadar	79945	27483	6576	13642	2387	3231	2142	2930	5072	58391	73.0390
Ramu	44134	12356	2055	11703	2265	2200	2559	2203	4762	35341	80.0766
Chakaria	79860	30047	4026	20037	2466	3405	1560	3840	5400	65381	81.8695
Ukhiya	37092	14933	1747	7884	441	1839	679	916	1595	28439	76.6715
Teknaf	47260	14541	2493	14339	556	980	1468	1101	2569	35478	75.0698
Pekua	31058	10140	648	8422	338	1152	574	904	1478	22178	71.4083

 
