   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:39
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	100089	35688	9512	19334	2571	3091	2099	5633	7732	77928	77.8587
Chouddagram	82908	30337	3426	16681	2296	1610	582	6562	7144	61494	74.1714
Barura	79753	32263	4028	14962	2070	1644	1287	4956	6243	61210	76.7495
Laksham	52681	21770	2608	9309	559	674	339	4113	4452	39372	74.7366
Burichong	57432	23030	4636	8055	1945	1679	1334	4223	5557	44902	78.1829
Brahmanpara	38030	12836	2160	5858	1380	1337	490	3624	4114	27685	72.7978
Homna	36676	11723	3119	7872	2397	653	299	2546	2845	28609	78.0047
Muradnagar	103427	36708	8535	17654	4300	1348	790	7988	8778	77323	74.7609
Debidwar	88088	35043	6240	14158	2653	1437	936	6370	7306	66837	75.8753
Daudkandi	68346	22654	5201	13248	3239	1752	575	6313	6888	52982	77.5203
Chandina	71809	26992	3658	13357	2149	842	2060	4019	6079	53077	73.9141
Nangolkot	74728	21774	6174	14917	1615	1439	262	7001	7263	53182	71.1674
Meghna	20023	6114	1122	4746	618	228	88	1819	1907	14735	73.5904
Titash	34996	9414	3042	7147	1406	794	331	3220	3551	25354	72.4483
Comilla Sadar South	75653	31022	3533	12192	1716	1149	1024	5532	6556	56168	74.2442
Monohargonj	47335	18175	3525	7451	770	506	345	3719	4064	34491	72.8657

 
