   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	17480	5607	1357	1773	563	472	465	1504	1969	11741	67.1682
Gowainghat	51091	13079	3251	10244	2922	1636	1535	5696	7231	38363	75.0876
Jakiganj	34559	9568	3387	4764	1987	2034	1816	2255	4071	25811	74.6868
Jaintapur	28482	9105	2042	6451	1107	978	811	1752	2563	22246	78.1055
Balaganj	49414	13717	4635	7501	1589	2336	1097	5866	6963	36741	74.3534
Golapganj	46465	15394	6652	3622	1593	2037	1164	5133	6297	35595	76.6060
Sylhet Sadar	92359	32511	8668	11542	1813	5560	1931	7832	9763	69857	75.6364
Biani Bazar	34773	10611	4073	3176	2081	702	1214	3071	4285	24928	71.6878
Kanaighat	46436	13254	4008	8767	2108	1500	2555	1904	4459	34096	73.4258
Biswanath	29760	9821	3442	2567	472	1072	657	3858	4515	21889	73.5517
Companiganj	27147	8584	1658	4648	982	1387	187	2689	2876	20135	74.1703
South Shurma	52456	17351	5844	7312	1411	2476	1271	4561	5832	40226	76.6852

 
