Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	1255	544	3069	880	20685	47009	1147	7637	11973	19900	837	3769	404	563	462	708	504	587
Khulna	892	482	2264	864	23217	40060	2408	9735	14479	31723	180	4226	209	636	134	483	409	777
Barisal	187	20	962	362	16086	20215	1422	5971	9068	15716	798	2233	245	355	63	188	201	316
Dhaka	15280	531	4700	1082	48199	66175	1975	11298	15555	26945	2424	5736	3336	1946	532	1824	1519	1749
Chittagong	2424	478	1649	703	24038	56988	2356	12452	19301	34345	1118	3806	803	1227	406	744	757	924
Sylhet	1658	21	423	157	10907	29188	730	9251	14133	26781	482	3268	179	944	268	400	364	497
Rangpur	1628	382	1609	977	23243	40080	2141	6291	9297	13642	376	3766	368	727	148	344	389	393
Mymensingh	393	265	936	449	10221	18342	607	5027	7662	16650	543	2412	32	451	398	435	429	453
