Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	895	4	3468	1181	13828	34624	834	6241	10613	16610	420	5301	1105	614	200	623	480	427
Khulna	937	672	2104	696	23585	40319	3328	10854	17818	40710	659	5847	1138	717	128	332	472	637
Barisal	206	43	1044	716	10715	22453	802	4151	6318	10999	246	2923	871	434	43	285	242	437
Dhaka	1703	452	4072	1417	18293	71719	1929	9927	14497	21297	1579	7645	1862	2482	460	1014	1072	1456
Chittagong	1963	879	1895	648	17710	61067	2542	9177	15159	27183	1277	4306	1558	1335	438	592	773	905
Sylhet	670	396	2897	293	7379	26137	999	7857	11423	21414	447	2826	812	1001	196	435	268	410
Rangpur	1575	1363	1482	435	13597	174706	1690	4470	6709	11240	1400	4566	851	273	56	138	118	212
Mymensingh	1109	1043	1434	640	8185	18319	1166	4954	6150	13447	1069	4132	499	444	256	358	283	419
